world,node,child,value_0.2_1,value_0.28_1,value_0.391_1,value_0.547_1,value_0.765_1,value_1.07_1,value_1.496_1,value_2.092_1,value_2.925_1,value_4.091_1,value_5.721_1,value_8_1
hard_two_big_rooms_0,N48422,N24560,1.0,1.0,1.0,1.0,1.0,1.0,0.9997,0.9968,0.9837,0.9495,0.8907,0.8176
hard_two_big_rooms_0,N48422,N26537,0.0,0.0,0.0,0.0,0.0,0.0,0.0003,0.0032,0.0163,0.0505,0.1093,0.1824
hard_two_big_rooms_0,N54919,N75040,1.0,1.0,1.0,1.0,0.9996,0.9963,0.9822,0.9458,0.8828,0.7995,0.7085,0.622
hard_two_big_rooms_0,N54919,N94908,0.0,0.0,0.0,0.0,0.0004,0.0037,0.0178,0.0537,0.1135,0.1845,0.2482,0.2938
hard_two_big_rooms_0,N54919,N41264,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005,0.0037,0.016,0.0432,0.0842
hard_two_big_rooms_0,N36962,N21067,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9993,0.9937,0.9687,0.9058,0.806
hard_two_big_rooms_0,N36962,N32747,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005,0.0042,0.0194,0.0553,0.1091
hard_two_big_rooms_0,N36962,N61813,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002,0.0021,0.0119,0.039,0.0849
hard_two_big_rooms_0,N81057,N88320,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9998,0.9979,0.9879,0.9588,0.9047
hard_two_big_rooms_0,N81057,N58151,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002,0.0021,0.0121,0.0412,0.0953
hard_two_big_rooms_0,N18173,N83476,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.4999,0.4993,0.4961,0.4875,0.4718
hard_two_big_rooms_0,N18173,N36020,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.4999,0.4993,0.4961,0.4875,0.4718
hard_two_big_rooms_0,N18173,N59699,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0015,0.0078,0.025,0.0564
hard_two_big_rooms_0,N57650,N25410,1.0,1.0,1.0,0.9993,0.9947,0.9768,0.9355,0.8711,0.7956,0.7202,0.6493,0.5841
hard_two_big_rooms_0,N57650,N71505,0.0,0.0,0.0,0.0007,0.0053,0.0232,0.0645,0.1287,0.2027,0.2709,0.3227,0.3543
