world,node,child,value_0.2_1_1,value_0.28_1_1,value_0.391_1_1,value_0.547_1_1,value_0.765_1_1,value_1.07_1_1,value_1.496_1_1,value_2.092_1_1,value_2.925_1_1,value_4.091_1_1,value_5.721_1_1,value_8_1_1
Equal_2vs5_mirror,N86472,N73070,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
Equal_2vs5_mirror,N86472,N12601,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
3ways_2_mirror,N20537,N61048,0.0135,0.044,0.0958,0.1566,0.2103,0.2504,0.2778,0.296,0.3079,0.3159,0.3212,0.3249
3ways_2_mirror,N20537,N53349,0.0032,0.0159,0.0461,0.0929,0.1448,0.1917,0.2295,0.2582,0.2793,0.2946,0.3056,0.3135
3ways_2_mirror,N20537,N38759,0.9832,0.9401,0.858,0.7505,0.6449,0.5579,0.4927,0.4458,0.4128,0.3895,0.3732,0.3616
3ways_2_mirror,N61048,N31028,0.0013,0.0085,0.032,0.0804,0.1489,0.2234,0.2908,0.3458,0.388,0.4192,0.442,0.4584
3ways_2_mirror,N61048,N14684,0.9987,0.9915,0.968,0.9196,0.8511,0.7766,0.7092,0.6542,0.612,0.5808,0.558,0.5416
3ways_2_mirror,N53349,N22906,1.0,1.0,1.0,1.0,1.0,0.9999,0.999,0.9931,0.9722,0.927,0.8603,0.7858
3ways_2_mirror,N53349,N23735,0.0,0.0,0.0,0.0,0.0,0.0001,0.001,0.0069,0.0278,0.073,0.1397,0.2142
3ways_2_mirror,N38759,N26939,1.0,1.0,1.0,1.0,1.0,0.9994,0.9953,0.9786,0.9391,0.876,0.8019,0.7311
3ways_2_mirror,N38759,N82844,0.0,0.0,0.0,0.0,0.0,0.0006,0.0047,0.0214,0.0609,0.124,0.1981,0.2689
Equal_10vs2_mirror,N74542,N84331,0.8603,0.7856,0.7171,0.6603,0.6166,0.5842,0.5605,0.5433,0.531,0.5222,0.5159,0.5114
Equal_10vs2_mirror,N74542,N25495,0.1397,0.2144,0.2829,0.3397,0.3834,0.4158,0.4395,0.4567,0.469,0.4778,0.4841,0.4886
6vs1_2_mirror,N96941,N61632,0.0,0.0,0.0,0.0004,0.0037,0.0179,0.0539,0.1142,0.1877,0.2597,0.321,0.3692
6vs1_2_mirror,N96941,N99612,1.0,1.0,1.0,0.9996,0.9963,0.9821,0.9461,0.8858,0.8123,0.7403,0.679,0.6308
Equal_10vs2,N92580,N16553,0.8603,0.7856,0.7171,0.6603,0.6166,0.5842,0.5605,0.5433,0.531,0.5222,0.5159,0.5114
Equal_10vs2,N92580,N51698,0.1397,0.2144,0.2829,0.3397,0.3834,0.4158,0.4395,0.4567,0.469,0.4778,0.4841,0.4886
Equal_6vs3,N93546,N45994,0.0344,0.0846,0.1538,0.2282,0.295,0.3491,0.3904,0.421,0.4433,0.4594,0.4709,0.4792
Equal_6vs3,N93546,N73133,0.9656,0.9154,0.8462,0.7718,0.705,0.6509,0.6096,0.579,0.5567,0.5406,0.5291,0.5208
Loop_2_mirror,N90706,N65692,0.1848,0.2419,0.281,0.305,0.3184,0.3255,0.3293,0.3313,0.3323,0.3328,0.3331,0.3332
Loop_2_mirror,N90706,N52431,0.0443,0.0872,0.1353,0.1809,0.2191,0.2493,0.2721,0.289,0.3014,0.3103,0.3168,0.3215
Loop_2_mirror,N90706,N61240,0.771,0.671,0.5836,0.5142,0.4625,0.4252,0.3986,0.3797,0.3664,0.3569,0.3501,0.3453
Loop_2_mirror,N61240,N96236,1.0,1.0,1.0,1.0,0.9996,0.9963,0.9822,0.9462,0.8861,0.8125,0.7405,0.6792
Loop_2_mirror,N61240,N87785,0.0,0.0,0.0,0.0,0.0004,0.0037,0.0178,0.0538,0.1139,0.1875,0.2595,0.3208
Equal_4vs2,N25436,N93213,0.0344,0.0846,0.1538,0.2282,0.295,0.3491,0.3904,0.421,0.4433,0.4594,0.4709,0.4792
Equal_4vs2,N25436,N46529,0.9656,0.9154,0.8462,0.7718,0.705,0.6509,0.6096,0.579,0.5567,0.5406,0.5291,0.5208
4ways,N39711,N75328,0.0113,0.0372,0.0787,0.1238,0.1614,0.1889,0.2078,0.2208,0.2296,0.2357,0.2399,0.2429
4ways,N39711,N96243,0.0113,0.0372,0.0787,0.1238,0.1614,0.1889,0.2078,0.2208,0.2296,0.2357,0.2399,0.2429
4ways,N39711,N28397,0.966,0.8885,0.764,0.6286,0.5158,0.4334,0.3765,0.3377,0.3112,0.2929,0.2802,0.2714
4ways,N39711,N48992,0.0113,0.0372,0.0787,0.1238,0.1614,0.1889,0.2078,0.2208,0.2296,0.2357,0.2399,0.2429
4ways,N75328,N26976,0.0066,0.0266,0.0671,0.1216,0.1756,0.22,0.2531,0.2768,0.2935,0.3052,0.3134,0.3192
4ways,N75328,N53690,0.9867,0.9468,0.8658,0.7568,0.6489,0.5601,0.4938,0.4464,0.4131,0.3897,0.3732,0.3617
4ways,N75328,N85228,0.0066,0.0266,0.0671,0.1216,0.1756,0.22,0.2531,0.2768,0.2935,0.3052,0.3134,0.3192
4ways,N96243,N32798,0.9981,0.9883,0.9578,0.8943,0.801,0.6956,0.5962,0.5114,0.4433,0.3908,0.3515,0.3228
4ways,N96243,N91530,0.0,0.0,0.0,0.0,0.0004,0.0032,0.0128,0.0327,0.0621,0.0958,0.1287,0.1573
4ways,N96243,N88542,0.0019,0.0114,0.0392,0.091,0.1563,0.2163,0.2585,0.2814,0.2892,0.2879,0.2825,0.2761
4ways,N96243,N68171,0.0,0.0003,0.003,0.0146,0.0423,0.0849,0.1325,0.1745,0.2054,0.2255,0.2372,0.2437
4ways,N28397,N27336,1.0,1.0,1.0,0.9997,0.9968,0.9831,0.9443,0.8707,0.7713,0.6679,0.5786,0.5092
4ways,N28397,N21554,0.0,0.0,0.0,0.0003,0.0032,0.0161,0.0499,0.1063,0.1714,0.2278,0.2681,0.2938
4ways,N28397,N26319,0.0,0.0,0.0,0.0,0.0,0.0008,0.0059,0.023,0.0574,0.1042,0.1533,0.1969
4ways,N48992,N60447,1.0,1.0,1.0,1.0,0.9998,0.9978,0.987,0.9527,0.8829,0.7836,0.6781,0.586
4ways,N48992,N61169,0.0,0.0,0.0,0.0,0.0002,0.0021,0.0122,0.0412,0.0934,0.1572,0.215,0.2577
4ways,N48992,N29748,0.0,0.0,0.0,0.0,0.0,0.0001,0.0008,0.0061,0.0238,0.0591,0.1069,0.1563
4ways,N26976,N20811,0.9864,0.9545,0.8947,0.81,0.7146,0.6238,0.5475,0.4882,0.4443,0.4125,0.3897,0.3735
4ways,N26976,N25416,0.0136,0.0447,0.0999,0.169,0.2331,0.28,0.3087,0.3241,0.3314,0.3345,0.3355,0.3356
4ways,N26976,N38655,0.0,0.0008,0.0054,0.0209,0.0523,0.0962,0.1438,0.1877,0.2242,0.253,0.2748,0.2909
4ways,N53690,N67505,1.0,1.0,1.0,0.9993,0.9947,0.9768,0.9355,0.8712,0.797,0.7267,0.668,0.6225
4ways,N53690,N81529,0.0,0.0,0.0,0.0007,0.0053,0.0232,0.0645,0.1288,0.203,0.2733,0.332,0.3775
4ways,N85228,N55441,1.0,1.0,1.0,1.0,0.9998,0.998,0.9885,0.9603,0.9071,0.8361,0.7623,0.6971
4ways,N85228,N95080,0.0,0.0,0.0,0.0,0.0002,0.002,0.0115,0.0397,0.0929,0.1639,0.2377,0.3029
4ways,N32798,N22474,0.0,0.0,0.0,0.0001,0.0014,0.0079,0.0259,0.0585,0.1018,0.148,0.1904,0.2259
4ways,N32798,N99878,0.9967,0.9834,0.949,0.8898,0.8155,0.7384,0.6646,0.5962,0.5357,0.4851,0.4451,0.4146
4ways,N32798,N60238,0.0033,0.0166,0.051,0.1101,0.1831,0.2537,0.3096,0.3453,0.3625,0.3669,0.3645,0.3594
4ways,N91530,N70552,0.0,0.0,0.0003,0.0028,0.0132,0.038,0.077,0.1236,0.1692,0.2089,0.2409,0.2656
4ways,N91530,N70945,0.9967,0.9834,0.9487,0.8873,0.8059,0.716,0.6297,0.555,0.4955,0.4504,0.4173,0.3934
4ways,N91530,N19695,0.0033,0.0166,0.051,0.1098,0.1809,0.2461,0.2933,0.3214,0.3353,0.3406,0.3418,0.341
4ways,N88542,N68334,1.0,1.0,1.0,1.0,0.9998,0.9971,0.9826,0.9376,0.8523,0.7431,0.6377,0.552
4ways,N88542,N14860,0.0,0.0,0.0,0.0,0.0002,0.0023,0.0127,0.0419,0.0924,0.1517,0.2047,0.2449
4ways,N88542,N67846,0.0,0.0,0.0,0.0,0.0,0.0006,0.0047,0.0205,0.0553,0.1051,0.1575,0.2031
4ways,N68171,N79384,1.0,1.0,1.0,1.0,1.0,0.9995,0.995,0.9737,0.9169,0.8216,0.7107,0.61
4ways,N68171,N99186,0.0,0.0,0.0,0.0,0.0,0.0004,0.0038,0.0181,0.0531,0.1071,0.1656,0.2152
4ways,N68171,N84945,0.0,0.0,0.0,0.0,0.0,0.0001,0.0012,0.0082,0.03,0.0713,0.1237,0.1748
4ways,N27336,N24918,1.0,1.0,0.9998,0.9977,0.9873,0.9575,0.9028,0.8311,0.7576,0.6931,0.6417,0.6027
4ways,N27336,N35692,0.0,0.0,0.0002,0.0023,0.0127,0.0425,0.0972,0.1689,0.2424,0.3069,0.3583,0.3973
4ways,N21554,N77546,1.0,1.0,0.9999,0.9983,0.9891,0.958,0.8915,0.7938,0.6874,0.5932,0.5195,0.4654
4ways,N21554,N16090,0.0,0.0,0.0,0.0,0.0007,0.0056,0.0226,0.0573,0.1049,0.1546,0.1987,0.234
4ways,N21554,N64741,0.0,0.0,0.0001,0.0017,0.0102,0.0364,0.0859,0.149,0.2077,0.2521,0.2818,0.3005
4ways,N26319,N83433,1.0,0.9992,0.994,0.9748,0.9318,0.8664,0.792,0.7223,0.6646,0.6198,0.5865,0.5622
4ways,N26319,N93526,0.0,0.0008,0.006,0.0252,0.0682,0.1336,0.208,0.2777,0.3354,0.3802,0.4135,0.4378
4ways,N60447,N57637,1.0,1.0,0.9998,0.9977,0.9873,0.9575,0.9028,0.8311,0.7576,0.6931,0.6417,0.6027
4ways,N60447,N20174,0.0,0.0,0.0002,0.0023,0.0127,0.0425,0.0972,0.1689,0.2424,0.3069,0.3583,0.3973
4ways,N61169,N97788,0.9998,0.9974,0.9861,0.9546,0.8978,0.8226,0.7403,0.659,0.5849,0.522,0.472,0.434
4ways,N61169,N39247,0.0,0.0,0.0,0.0,0.0005,0.0041,0.0168,0.0439,0.0843,0.1307,0.1753,0.2137
4ways,N61169,N66641,0.0002,0.0026,0.0139,0.0453,0.1016,0.1733,0.243,0.2971,0.3308,0.3473,0.3527,0.3523
4ways,N29748,N38171,0.0344,0.0846,0.1538,0.2282,0.295,0.3491,0.3904,0.421,0.4433,0.4594,0.4709,0.4792
4ways,N29748,N21112,0.9656,0.9154,0.8462,0.7718,0.705,0.6509,0.6096,0.579,0.5567,0.5406,0.5291,0.5208
4ways,N20811,N50954,0.9987,0.9915,0.968,0.9196,0.8511,0.7766,0.7092,0.6542,0.612,0.5808,0.558,0.5416
4ways,N20811,N30238,0.0013,0.0085,0.032,0.0804,0.1489,0.2234,0.2908,0.3458,0.388,0.4192,0.442,0.4584
4ways,N25416,N46107,1.0,1.0,1.0,1.0,0.9998,0.998,0.9885,0.9603,0.9071,0.8361,0.7623,0.6971
4ways,N25416,N67687,0.0,0.0,0.0,0.0,0.0002,0.002,0.0115,0.0397,0.0929,0.1639,0.2377,0.3029
4ways,N38655,N79056,1.0,1.0,1.0,1.0,1.0,0.9997,0.9972,0.9853,0.953,0.8958,0.8232,0.7503
4ways,N38655,N22842,0.0,0.0,0.0,0.0,0.0,0.0003,0.0028,0.0147,0.047,0.1042,0.1768,0.2497
4ways,N81529,N85196,1.0,1.0,0.9998,0.9977,0.9873,0.9575,0.9028,0.8311,0.7576,0.6931,0.6417,0.6027
4ways,N81529,N19126,0.0,0.0,0.0002,0.0023,0.0127,0.0425,0.0972,0.1689,0.2424,0.3069,0.3583,0.3973
4ways,N95080,N88611,0.9975,0.9864,0.9556,0.8997,0.8276,0.7543,0.6904,0.6396,0.6011,0.5728,0.5522,0.5374
4ways,N95080,N18220,0.0025,0.0136,0.0444,0.1003,0.1724,0.2457,0.3096,0.3604,0.3989,0.4272,0.4478,0.4626
4ways,N22474,N35001,0.9987,0.9915,0.968,0.9196,0.8511,0.7766,0.7092,0.6542,0.612,0.5808,0.558,0.5416
4ways,N22474,N29539,0.0013,0.0085,0.032,0.0804,0.1489,0.2234,0.2908,0.3458,0.388,0.4192,0.442,0.4584
4ways,N99878,N73325,1.0,1.0,1.0,1.0,1.0,0.9994,0.9953,0.9786,0.9391,0.876,0.8019,0.7311
4ways,N99878,N57901,0.0,0.0,0.0,0.0,0.0,0.0006,0.0047,0.0214,0.0609,0.124,0.1981,0.2689
4ways,N60238,N13644,1.0,1.0,1.0,1.0,1.0,0.9999,0.999,0.9931,0.9722,0.927,0.8603,0.7858
4ways,N60238,N33016,0.0,0.0,0.0,0.0,0.0,0.0001,0.001,0.0069,0.0278,0.073,0.1397,0.2142
4ways,N70552,N17060,0.9987,0.9915,0.968,0.9196,0.8511,0.7766,0.7092,0.6542,0.612,0.5808,0.558,0.5416
4ways,N70552,N30543,0.0013,0.0085,0.032,0.0804,0.1489,0.2234,0.2908,0.3458,0.388,0.4192,0.442,0.4584
4ways,N70945,N40273,1.0,1.0,1.0,1.0,0.9998,0.998,0.9885,0.9603,0.9071,0.8361,0.7623,0.6971
4ways,N70945,N45998,0.0,0.0,0.0,0.0,0.0002,0.002,0.0115,0.0397,0.0929,0.1639,0.2377,0.3029
4ways,N19695,N43251,1.0,1.0,1.0,1.0,1.0,0.9997,0.9972,0.9853,0.953,0.8958,0.8232,0.7503
4ways,N19695,N68434,0.0,0.0,0.0,0.0,0.0,0.0003,0.0028,0.0147,0.047,0.1042,0.1768,0.2497
4ways,N68334,N75021,0.9933,0.9727,0.9281,0.8615,0.787,0.718,0.6612,0.6173,0.5846,0.5608,0.5436,0.5312
4ways,N68334,N55430,0.0067,0.0273,0.0719,0.1385,0.213,0.282,0.3388,0.3827,0.4154,0.4392,0.4564,0.4688
4ways,N14860,N96551,0.0,0.0008,0.006,0.0252,0.0682,0.1336,0.208,0.2777,0.3354,0.3802,0.4135,0.4378
4ways,N14860,N32558,1.0,0.9992,0.994,0.9748,0.9318,0.8664,0.792,0.7223,0.6646,0.6198,0.5865,0.5622
4ways,N67846,N51445,0.0344,0.0846,0.1538,0.2282,0.295,0.3491,0.3904,0.421,0.4433,0.4594,0.4709,0.4792
4ways,N67846,N48696,0.9656,0.9154,0.8462,0.7718,0.705,0.6509,0.6096,0.579,0.5567,0.5406,0.5291,0.5208
4ways,N79384,N70045,0.9933,0.9727,0.9281,0.8615,0.787,0.718,0.6612,0.6173,0.5846,0.5608,0.5436,0.5312
4ways,N79384,N56788,0.0067,0.0273,0.0719,0.1385,0.213,0.282,0.3388,0.3827,0.4154,0.4392,0.4564,0.4688
4ways,N99186,N27839,0.0,0.0,0.0,0.0003,0.0032,0.0161,0.0502,0.1088,0.1818,0.2544,0.3167,0.3659
4ways,N99186,N60822,1.0,1.0,1.0,0.9997,0.9968,0.9839,0.9498,0.8912,0.8182,0.7456,0.6833,0.6341
4ways,N84945,N65345,0.0,0.0,0.0008,0.0059,0.0251,0.0681,0.1334,0.2078,0.2774,0.3353,0.38,0.4134
4ways,N84945,N27552,1.0,1.0,0.9992,0.9941,0.9749,0.9319,0.8666,0.7922,0.7226,0.6647,0.62,0.5866
4ways,N24918,N79823,1.0,1.0,1.0,0.9999,0.9986,0.9907,0.9659,0.9161,0.8468,0.7724,0.7056,0.6514
4ways,N24918,N96706,0.0,0.0,0.0,0.0001,0.0014,0.0093,0.0341,0.0839,0.1532,0.2276,0.2944,0.3486
4ways,N77546,N54553,0.0,0.0008,0.006,0.0252,0.0682,0.1336,0.208,0.2777,0.3354,0.3802,0.4135,0.4378
4ways,N77546,N39780,1.0,0.9992,0.994,0.9748,0.9318,0.8664,0.792,0.7223,0.6646,0.6198,0.5865,0.5622
4ways,N16090,N26846,0.0344,0.0846,0.1538,0.2282,0.295,0.3491,0.3904,0.421,0.4433,0.4594,0.4709,0.4792
4ways,N16090,N66021,0.9656,0.9154,0.8462,0.7718,0.705,0.6509,0.6096,0.579,0.5567,0.5406,0.5291,0.5208
4ways,N64741,N21259,0.9933,0.9727,0.9281,0.8615,0.787,0.718,0.6612,0.6173,0.5846,0.5608,0.5436,0.5312
4ways,N64741,N92391,0.0067,0.0273,0.0719,0.1385,0.213,0.282,0.3388,0.3827,0.4154,0.4392,0.4564,0.4688
4ways,N83433,N11692,1.0,1.0,0.9998,0.9977,0.9873,0.9575,0.9028,0.8311,0.7576,0.6931,0.6417,0.6027
4ways,N83433,N85488,0.0,0.0,0.0002,0.0023,0.0127,0.0425,0.0972,0.1689,0.2424,0.3069,0.3583,0.3973
4ways,N57637,N98600,1.0,1.0,1.0,0.9999,0.9986,0.9907,0.9659,0.9161,0.8468,0.7724,0.7056,0.6514
4ways,N57637,N85102,0.0,0.0,0.0,0.0001,0.0014,0.0093,0.0341,0.0839,0.1532,0.2276,0.2944,0.3486
4ways,N97788,N44503,0.0,0.0,0.0,0.0003,0.0032,0.0161,0.0502,0.1088,0.1818,0.2544,0.3167,0.3659
4ways,N97788,N24895,1.0,1.0,1.0,0.9997,0.9968,0.9839,0.9498,0.8912,0.8182,0.7456,0.6833,0.6341
4ways,N39247,N47659,0.0,0.0,0.0008,0.0059,0.0251,0.0681,0.1334,0.2078,0.2774,0.3353,0.38,0.4134
4ways,N39247,N91153,1.0,1.0,0.9992,0.9941,0.9749,0.9319,0.8666,0.7922,0.7226,0.6647,0.62,0.5866
4ways,N66641,N39797,0.9933,0.9727,0.9281,0.8615,0.787,0.718,0.6612,0.6173,0.5846,0.5608,0.5436,0.5312
4ways,N66641,N17903,0.0067,0.0273,0.0719,0.1385,0.213,0.282,0.3388,0.3827,0.4154,0.4392,0.4564,0.4688
4ways,N38171,N79618,0.9975,0.9864,0.9556,0.8997,0.8276,0.7543,0.6904,0.6396,0.6011,0.5728,0.5522,0.5374
4ways,N38171,N92012,0.0025,0.0136,0.0444,0.1003,0.1724,0.2457,0.3096,0.3604,0.3989,0.4272,0.4478,0.4626
Equal_6vs6,N11226,N33423,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
Equal_6vs6,N11226,N12169,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
Equal_8vs3,N70001,N74194,0.1397,0.2144,0.2829,0.3397,0.3834,0.4158,0.4395,0.4567,0.469,0.4778,0.4841,0.4886
Equal_8vs3,N70001,N18204,0.8603,0.7856,0.7171,0.6603,0.6166,0.5842,0.5605,0.5433,0.531,0.5222,0.5159,0.5114
Equal_7vs9_mirror,N74301,N10790,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
Equal_7vs9_mirror,N74301,N85381,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
Equal_2vs5,N78389,N61252,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
Equal_2vs5,N78389,N23723,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
Equal_7vs9,N23168,N97931,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
Equal_7vs9,N23168,N71964,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
6vs2,N57320,N16786,0.0067,0.0273,0.0719,0.1385,0.213,0.282,0.3388,0.3827,0.4154,0.4392,0.4564,0.4688
6vs2,N57320,N92511,0.9933,0.9727,0.9281,0.8615,0.787,0.718,0.6612,0.6173,0.5846,0.5608,0.5436,0.5312
Equal_8vs8_mirror,N25275,N90121,0.0502,0.109,0.1818,0.2544,0.3167,0.3659,0.4029,0.4302,0.4499,0.4641,0.4743,0.4816
Equal_8vs8_mirror,N25275,N19704,0.9498,0.891,0.8182,0.7456,0.6833,0.6341,0.5971,0.5698,0.5501,0.5359,0.5257,0.5184
4vs1,N71706,N89283,0.0003,0.0033,0.0164,0.0509,0.1099,0.1831,0.2555,0.3176,0.3666,0.4035,0.4305,0.4502
4vs1,N71706,N66282,0.9997,0.9967,0.9836,0.9491,0.8901,0.8169,0.7445,0.6824,0.6334,0.5965,0.5695,0.5498
4vs1,N66282,N87450,1.0,1.0,1.0,1.0,0.9996,0.9963,0.9822,0.9462,0.8861,0.8125,0.7405,0.6792
4vs1,N66282,N37939,0.0,0.0,0.0,0.0,0.0004,0.0037,0.0178,0.0538,0.1139,0.1875,0.2595,0.3208
Equal_7vs2,N75113,N97490,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
Equal_7vs2,N75113,N76871,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
Equal_7vs2_mirror,N10437,N63818,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
Equal_7vs2_mirror,N10437,N65890,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
Equal_8vs3_mirror,N74322,N68066,0.1397,0.2144,0.2829,0.3397,0.3834,0.4158,0.4395,0.4567,0.469,0.4778,0.4841,0.4886
Equal_8vs3_mirror,N74322,N55102,0.8603,0.7856,0.7171,0.6603,0.6166,0.5842,0.5605,0.5433,0.531,0.5222,0.5159,0.5114
4ways_mirror,N71965,N55786,0.0113,0.0372,0.0787,0.1238,0.1614,0.1889,0.2078,0.2208,0.2296,0.2357,0.2399,0.2429
4ways_mirror,N71965,N68849,0.0113,0.0372,0.0787,0.1238,0.1614,0.1889,0.2078,0.2208,0.2296,0.2357,0.2399,0.2429
4ways_mirror,N71965,N87420,0.0113,0.0372,0.0787,0.1238,0.1614,0.1889,0.2078,0.2208,0.2296,0.2357,0.2399,0.2429
4ways_mirror,N71965,N28069,0.966,0.8885,0.764,0.6286,0.5158,0.4334,0.3765,0.3377,0.3112,0.2929,0.2802,0.2714
4ways_mirror,N55786,N68398,0.0066,0.0266,0.0671,0.1216,0.1756,0.22,0.2531,0.2768,0.2935,0.3052,0.3134,0.3192
4ways_mirror,N55786,N22049,0.0066,0.0266,0.0671,0.1216,0.1756,0.22,0.2531,0.2768,0.2935,0.3052,0.3134,0.3192
4ways_mirror,N55786,N79058,0.9867,0.9468,0.8658,0.7568,0.6489,0.5601,0.4938,0.4464,0.4131,0.3897,0.3732,0.3617
4ways_mirror,N68849,N28828,0.9981,0.9883,0.9578,0.8943,0.801,0.6956,0.5962,0.5114,0.4433,0.3908,0.3515,0.3228
4ways_mirror,N68849,N48426,0.0,0.0,0.0,0.0,0.0004,0.0032,0.0128,0.0327,0.0621,0.0958,0.1287,0.1573
4ways_mirror,N68849,N16410,0.0,0.0003,0.003,0.0146,0.0423,0.0849,0.1325,0.1745,0.2054,0.2255,0.2372,0.2437
4ways_mirror,N68849,N53771,0.0019,0.0114,0.0392,0.091,0.1563,0.2163,0.2585,0.2814,0.2892,0.2879,0.2825,0.2761
4ways_mirror,N87420,N90986,1.0,1.0,1.0,1.0,0.9998,0.9978,0.987,0.9527,0.8829,0.7836,0.6781,0.586
4ways_mirror,N87420,N68046,0.0,0.0,0.0,0.0,0.0002,0.0021,0.0122,0.0412,0.0934,0.1572,0.215,0.2577
4ways_mirror,N87420,N93564,0.0,0.0,0.0,0.0,0.0,0.0001,0.0008,0.0061,0.0238,0.0591,0.1069,0.1563
4ways_mirror,N28069,N21757,1.0,1.0,1.0,0.9997,0.9968,0.9831,0.9443,0.8707,0.7713,0.6679,0.5786,0.5092
4ways_mirror,N28069,N22145,0.0,0.0,0.0,0.0003,0.0032,0.0161,0.0499,0.1063,0.1714,0.2278,0.2681,0.2938
4ways_mirror,N28069,N71364,0.0,0.0,0.0,0.0,0.0,0.0008,0.0059,0.023,0.0574,0.1042,0.1533,0.1969
4ways_mirror,N68398,N60588,0.9864,0.9545,0.8947,0.81,0.7146,0.6238,0.5475,0.4882,0.4443,0.4125,0.3897,0.3735
4ways_mirror,N68398,N23137,0.0,0.0008,0.0054,0.0209,0.0523,0.0962,0.1438,0.1877,0.2242,0.253,0.2748,0.2909
4ways_mirror,N68398,N79304,0.0136,0.0447,0.0999,0.169,0.2331,0.28,0.3087,0.3241,0.3314,0.3345,0.3355,0.3356
4ways_mirror,N22049,N94824,1.0,1.0,1.0,1.0,0.9998,0.998,0.9885,0.9603,0.9071,0.8361,0.7623,0.6971
4ways_mirror,N22049,N37493,0.0,0.0,0.0,0.0,0.0002,0.002,0.0115,0.0397,0.0929,0.1639,0.2377,0.3029
4ways_mirror,N79058,N46312,1.0,1.0,1.0,0.9993,0.9947,0.9768,0.9355,0.8712,0.797,0.7267,0.668,0.6225
4ways_mirror,N79058,N31173,0.0,0.0,0.0,0.0007,0.0053,0.0232,0.0645,0.1288,0.203,0.2733,0.332,0.3775
4ways_mirror,N28828,N75273,0.0,0.0,0.0,0.0001,0.0014,0.0079,0.0259,0.0585,0.1018,0.148,0.1904,0.2259
4ways_mirror,N28828,N37033,0.0033,0.0166,0.051,0.1101,0.1831,0.2537,0.3096,0.3453,0.3625,0.3669,0.3645,0.3594
4ways_mirror,N28828,N88234,0.9967,0.9834,0.949,0.8898,0.8155,0.7384,0.6646,0.5962,0.5357,0.4851,0.4451,0.4146
4ways_mirror,N48426,N41451,0.0,0.0,0.0003,0.0028,0.0132,0.038,0.077,0.1236,0.1692,0.2089,0.2409,0.2656
4ways_mirror,N48426,N27413,0.0033,0.0166,0.051,0.1098,0.1809,0.2461,0.2933,0.3214,0.3353,0.3406,0.3418,0.341
