"model","LL","tau","gamma","beta","k","bits","budget","c","subject","modeltype"
"Cells-Num",-37.216299196625,0.6204,NA,NA,0,0.18,NA,NA,"S8213306","Heuristic"
"DU",-33.3749762927134,0.887,0.99,1,NA,NA,NA,NA,"S8213306","Planning"
"DU-Num",-30.8741308567414,0.4534,0.66,1,NA,0.9,NA,NA,"S8213306","Planning"
"EU",-33.184685417993,0.887,1,1,NA,NA,NA,NA,"S8213306","Planning"
"EU-Num",-32.440947220974,0.887,1,1,NA,3.96,NA,NA,"S8213306","Planning"
"PW",-30.3458076188494,1.07,1,1.434,NA,NA,NA,NA,"S8213306","Planning"
"PW_DU",-31.517552724,0.887,0.89,1.6604,NA,NA,NA,NA,"S8213306","Planning"
"Random",-42.8202772663046,1,NA,NA,NA,NA,NA,NA,"S8213306","Heuristic"
"Sampling",-34.7739359042646,NA,NA,NA,NA,NA,280,12.4,"S8213306","Planning"
"Steps",-46.6152026266492,8,NA,NA,1,NA,NA,NA,"S8213306","Heuristic"
"Steps-Cells",-33.8295289465549,0.8434,NA,NA,0.36,NA,NA,NA,"S8213306","Heuristic"
"Steps-Cells-Num",-32.8698951205849,0.264,NA,NA,0.38,0.42,NA,NA,"S8213306","Heuristic"
"Steps-Num",-43.9089486293592,4.417,NA,NA,1,0.1,NA,NA,"S8213306","Heuristic"
"Cells",-44.0759921985702,5.1618,NA,NA,0,NA,NA,NA,"S29147503","Heuristic"
"Cells-Num",-44.0720594491253,1.1794,NA,NA,0,0.18,NA,NA,"S29147503","Heuristic"
"DU",-41.129106508492,0.9654,0.948,1,NA,NA,NA,NA,"S29147503","Planning"
"DU-Num",-42.286121730136,0.7512,0.79,1,NA,2.62,NA,NA,"S29147503","Planning"
"EU",-41.0002827806814,1.0506,1,1,NA,NA,NA,NA,"S29147503","Planning"
"EU-Num",-41.7059730573732,1.0506,1,1,NA,7.2,NA,NA,"S29147503","Planning"
"PW",-43.6191642698166,1.1358,1,0.9698,NA,NA,NA,NA,"S29147503","Planning"
"PW_DU",-48.2733129201,0.9342,0.9,1.1904,NA,NA,NA,NA,"S29147503","Planning"
"Random",-43.5134244468645,1,NA,NA,NA,NA,NA,NA,"S29147503","Heuristic"
"Sampling",-49.352939463636,NA,NA,NA,NA,NA,208,12,"S29147503","Planning"
"Steps",-44.3358130217884,8,NA,NA,1,NA,NA,NA,"S29147503","Heuristic"
"Steps-Cells",-40.6861330563578,0.9044,NA,NA,0.4,NA,NA,NA,"S29147503","Heuristic"
"Steps-Cells-Num",-41.8945382000527,0.2924,NA,NA,0.44,0.34,NA,NA,"S29147503","Heuristic"
"Steps-Num",-43.8008681855706,2.092,NA,NA,1,0.1,NA,NA,"S29147503","Heuristic"
"Cells",-36.5459914715493,2.5918,NA,NA,0,NA,NA,NA,"S59709097","Heuristic"
"Cells-Num",-35.4548599542161,0.948,NA,NA,0,0.5,NA,NA,"S59709097","Heuristic"
"DU",-22.2109788215357,0.3466,0.99,1,NA,NA,NA,NA,"S59709097","Planning"
"DU-Num",-29.6525076276633,0.248,0.84,1,NA,2.84,NA,NA,"S59709097","Planning"
"EU",-21.7465767906099,0.3688,1,1,NA,NA,NA,NA,"S59709097","Planning"
"EU-Num",-23.0734498306344,0.3688,1,1,NA,5.24,NA,NA,"S59709097","Planning"
"PW",-26.8075858170985,0.4,1,1.1092,NA,NA,NA,NA,"S59709097","Planning"
"PW_DU",-28.2452311721,0.3466,0.944,1.1904,NA,NA,NA,NA,"S59709097","Planning"
"Random",-41.4339829051847,1,NA,NA,NA,NA,NA,NA,"S59709097","Heuristic"
"Sampling",-22.8890324754674,NA,NA,NA,NA,NA,900,8.2,"S59709097","Planning"
"Steps",-44.784501065775,8,NA,NA,1,NA,NA,NA,"S59709097","Heuristic"
"Steps-Cells",-32.3735578091524,0.5594,NA,NA,0.38,NA,NA,NA,"S59709097","Heuristic"
"Steps-Cells-Num",-25.3342704716128,0.2,NA,NA,0.4,0.6,NA,NA,"S59709097","Heuristic"
"Steps-Num",-42.7333796693543,3.9506,NA,NA,1,0.1,NA,NA,"S59709097","Heuristic"
"Cells",-55.6431786984473,8,NA,NA,0,NA,NA,NA,"S26762995","Heuristic"
"Cells-Num",-47.2445870916026,8,NA,NA,0,0.1,NA,NA,"S26762995","Heuristic"
"DU",-15.9444379441966,0.4,0.24,1,NA,NA,NA,NA,"S26762995","Planning"
"DU-Num",-17.6759080513503,0.2924,0.24,1,NA,6.22,NA,NA,"S26762995","Planning"
"EU",-47.1416646847764,7.5442,1,1,NA,NA,NA,NA,"S26762995","Planning"
"EU-Num",-47.1416646847764,7.5442,1,1,NA,10,NA,NA,"S26762995","Planning"
"PW",-9.69961047136165,0.2,1,0.1,NA,NA,NA,NA,"S26762995","Planning"
"PW_DU",-12.229768572,0.2,0.788,0.1,NA,NA,NA,NA,"S26762995","Planning"
"Random",-45.7108490342014,1,NA,NA,NA,NA,NA,NA,"S26762995","Heuristic"
"Sampling",-37.9099008466441,NA,NA,NA,NA,NA,7.8,1.6,"S26762995","Planning"
"Steps",-7.66495426072436,0.2,NA,NA,1,NA,NA,NA,"S26762995","Heuristic"
"Steps-Cells",-7.66495426072436,0.2,NA,NA,1,NA,NA,NA,"S26762995","Heuristic"
"Steps-Cells-Num",-7.66495426072436,0.2,NA,NA,1,10,NA,NA,"S26762995","Heuristic"
"Steps-Num",-7.66495426072436,0.2,NA,NA,1,10,NA,NA,"S26762995","Heuristic"
"Cells",-39.5957112631415,3.3914,NA,NA,0,NA,NA,NA,"S70125846","Heuristic"
"Cells-Num",-39.9798662193033,1.221,NA,NA,0,0.42,NA,NA,"S70125846","Heuristic"
"DU",-35.0223148114228,1.07,0.99,1,NA,NA,NA,NA,"S70125846","Planning"
"DU-Num",-36.3939249113954,0.7824,0.77,1,NA,1.8,NA,NA,"S70125846","Planning"
"EU",-35.1050433346594,1.1552,1,1,NA,NA,NA,NA,"S70125846","Planning"
"EU-Num",-34.9175107090163,1.07,1,1,NA,3.88,NA,NA,"S70125846","Planning"
"PW",-35.2223850732955,1.4108,1,1.3528,NA,NA,NA,NA,"S70125846","Planning"
"PW_DU",-35.268617874,1.2404,0.938,1.434,NA,NA,NA,NA,"S70125846","Planning"
"Random",-44.2065716274245,1,NA,NA,NA,NA,NA,NA,"S70125846","Heuristic"
"Sampling",-37.7993676744835,NA,NA,NA,NA,NA,254,18.8,"S70125846","Planning"
"Steps",-47.4222042923658,8,NA,NA,1,NA,NA,NA,"S70125846","Heuristic"
"Steps-Cells",-37.8981087478039,1.1552,NA,NA,0.34,NA,NA,NA,"S70125846","Heuristic"
"Steps-Cells-Num",-37.5932885236042,0.4152,NA,NA,0.38,0.72,NA,NA,"S70125846","Heuristic"
"Steps-Num",-45.3555026752342,3.8578,NA,NA,1,0.1,NA,NA,"S70125846","Heuristic"
"Cells",-52.7485852926398,8,NA,NA,0,NA,NA,NA,"S38808275","Heuristic"
"Cells-Num",-46.1931271156624,8,NA,NA,0,0.1,NA,NA,"S38808275","Heuristic"
"DU",-29.5681970194518,1.2404,0.46,1,NA,NA,NA,NA,"S38808275","Planning"
"DU-Num",-29.3861531236134,0.3868,0.2,1,NA,0.26,NA,NA,"S38808275","Planning"
"EU",-45.7257318577256,6.1768,1,1,NA,NA,NA,NA,"S38808275","Planning"
"EU-Num",-45.7257318577256,6.1768,1,1,NA,10,NA,NA,"S38808275","Planning"
"PW",-29.5308015513699,1.2404,1,0.1648,NA,NA,NA,NA,"S38808275","Planning"
"PW_DU",-30.053415457,1.2404,0.872,0.4204,NA,NA,NA,NA,"S38808275","Planning"
"Random",-45.0177018536415,1,NA,NA,NA,NA,NA,NA,"S38808275","Heuristic"
"Sampling",-25.1854315765765,NA,NA,NA,NA,NA,9,1,"S38808275","Planning"
"Steps",-32.458437724886,1.8536,NA,NA,1,NA,NA,NA,"S38808275","Heuristic"
"Steps-Cells",-32.6730875543632,1.6492,NA,NA,0.92,NA,NA,NA,"S38808275","Heuristic"
"Steps-Cells-Num",-33.5498262569329,0.3778,NA,NA,0.96,0.1,NA,NA,"S38808275","Heuristic"
"Steps-Num",-33.5039025713185,0.4,NA,NA,1,0.1,NA,NA,"S38808275","Heuristic"
"Cells",-36.5521100907369,4.091,NA,NA,0,NA,NA,NA,"S15992896","Heuristic"
"Cells-Num",-37.402335959655,0.8676,NA,NA,0,0.18,NA,NA,"S15992896","Heuristic"
"DU",-37.55009390764,1.469,0.99,1,NA,NA,NA,NA,"S15992896","Planning"
"DU-Num",-37.4127324501932,1.3498,0.982,1,NA,4.28,NA,NA,"S15992896","Planning"
"EU",-37.4845120994817,1.469,1,1,NA,NA,NA,NA,"S15992896","Planning"
"EU-Num",-37.7760858418104,1.469,1,1,NA,5.28,NA,NA,"S15992896","Planning"
"PW",-37.6726451818079,1.469,1,1.1092,NA,NA,NA,NA,"S15992896","Planning"
"PW_DU",-37.648776179,1.469,0.99,1.1092,NA,NA,NA,NA,"S15992896","Planning"
"Random",-39.9297054984077,1,NA,NA,NA,NA,NA,NA,"S15992896","Heuristic"
"Sampling",-33.6359555249966,NA,NA,NA,NA,NA,608,17.4,"S15992896","Planning"
"Steps",-42.0900947703057,8,NA,NA,1,NA,NA,NA,"S15992896","Heuristic"
"Steps-Cells",-33.0997758198483,0.826,NA,NA,0.4,NA,NA,NA,"S15992896","Heuristic"
"Steps-Cells-Num",-34.3373108187356,0.2924,NA,NA,0.4,0.34,NA,NA,"S15992896","Heuristic"
"Steps-Num",-40.9240257087238,2.7584,NA,NA,1,0.1,NA,NA,"S15992896","Heuristic"
"Cells",-51.5992144221392,8,NA,NA,0,NA,NA,NA,"S97576529","Heuristic"
"Cells-Num",-45.8582712365734,7.0884,NA,NA,0,0.1,NA,NA,"S97576529","Heuristic"
"DU",-38.9911077654135,2.2586,0.3,1,NA,NA,NA,NA,"S97576529","Planning"
"DU-Num",-40.1243323962094,0.5282,0.12,1,NA,0.1,NA,NA,"S97576529","Planning"
"EU",-45.6781604883677,6.6326,1,1,NA,NA,NA,NA,"S97576529","Planning"
"EU-Num",-45.6781604883677,6.6326,1,1,NA,10,NA,NA,"S97576529","Planning"
"PW",-39.3188423688702,2.1394,1,0.1912,NA,NA,NA,NA,"S97576529","Planning"
"PW_DU",-38.70947926,2.2586,0.32,1.8868,NA,NA,NA,NA,"S97576529","Planning"
"Random",-44.612136740533,1,NA,NA,NA,NA,NA,NA,"S97576529","Heuristic"
"Sampling",-60.6760108852949,NA,NA,NA,NA,NA,8.6,8.2,"S97576529","Planning"
"Steps",-38.4453667235901,2.7584,NA,NA,1,NA,NA,NA,"S97576529","Heuristic"
"Steps-Cells",-38.8787900010279,2.7584,NA,NA,0.98,NA,NA,NA,"S97576529","Heuristic"
"Steps-Cells-Num",-39.0867844050058,0.5158,NA,NA,0.98,0.1,NA,NA,"S97576529","Heuristic"
"Steps-Num",-38.6822161879742,0.5158,NA,NA,1,0.1,NA,NA,"S97576529","Heuristic"
"Cells",-42.8452691100439,7.5442,NA,NA,0,NA,NA,NA,"S30232939","Heuristic"
"Cells-Num",-42.7394467144086,1.6152,NA,NA,0,0.1,NA,NA,"S30232939","Heuristic"
"DU",-41.6217659962552,1.7684,0.91,1,NA,NA,NA,NA,"S30232939","Planning"
"DU-Num",-44.2957219291707,0.7686,0.58,1,NA,1.24,NA,NA,"S30232939","Planning"
"EU",-41.7500603050198,2.0542,1,1,NA,NA,NA,NA,"S30232939","Planning"
"EU-Num",-41.9204921398278,2.0542,1,1,NA,4.92,NA,NA,"S30232939","Planning"
"PW",-42.6020528418343,1.8876,1,0.9698,NA,NA,NA,NA,"S30232939","Planning"
"PW_DU",-42.28278546,1.7684,0.87,1.1904,NA,NA,NA,NA,"S30232939","Planning"
"Random",-42.4147121531961,1,NA,NA,NA,NA,NA,NA,"S30232939","Heuristic"
"Sampling",-46.9408117964133,NA,NA,NA,NA,NA,138,17,"S30232939","Planning"
"Steps",-43.1890935117839,8,NA,NA,1,NA,NA,NA,"S30232939","Heuristic"
"Steps-Cells",-42.7764724983469,1.8536,NA,NA,0.44,NA,NA,NA,"S30232939","Heuristic"
"Steps-Cells-Num",-44.9024596349824,0.3688,NA,NA,0.46,0.18,NA,NA,"S30232939","Heuristic"
"Steps-Num",-43.5708180598363,1.901,NA,NA,1,0.1,NA,NA,"S30232939","Heuristic"
"Cells",-53.1994886501932,8,NA,NA,0,NA,NA,NA,"S17409258","Heuristic"
"Cells-Num",-47.0020474098193,7.5442,NA,NA,0,0.1,NA,NA,"S17409258","Heuristic"
"DU",-34.708094903499,1.3256,0.36,1,NA,NA,NA,NA,"S17409258","Planning"
"DU-Num",-31.5689583600521,0.248,0.2,1,NA,0.1,NA,NA,"S17409258","Planning"
"EU",-47.3487325228948,6.7624,1,1,NA,NA,NA,NA,"S17409258","Planning"
"EU-Num",-47.3487325228948,6.7624,1,1,NA,10,NA,NA,"S17409258","Planning"
"PW",-34.312023362579,1.3256,1,0.1346,NA,NA,NA,NA,"S17409258","Planning"
"PW_DU",-34.7972248741,1.2404,0.36,1.8868,NA,NA,NA,NA,"S17409258","Planning"
"Random",-45.7108490342014,1,NA,NA,NA,NA,NA,NA,"S17409258","Heuristic"
"Sampling",-86.1985350401735,NA,NA,NA,NA,NA,8.4,9.2,"S17409258","Planning"
"Steps",-35.9693694808192,1.7684,NA,NA,1,NA,NA,NA,"S17409258","Heuristic"
"Steps-Cells",-34.7684709994828,1.4108,NA,NA,0.88,NA,NA,NA,"S17409258","Heuristic"
"Steps-Cells-Num",-34.9521912941392,0.409,NA,NA,0.86,0.34,NA,NA,"S17409258","Heuristic"
"Steps-Num",-35.4800461102217,0.6466,NA,NA,1,0.5,NA,NA,"S17409258","Heuristic"
"Cells",-36.2115516125197,2.7584,NA,NA,0,NA,NA,NA,"S26390707","Heuristic"
"Cells-Num",-37.5580513482245,0.725,NA,NA,0,0.26,NA,NA,"S26390707","Heuristic"
"DU",-35.9516526229165,1.2404,0.99,1,NA,NA,NA,NA,"S26390707","Planning"
"DU-Num",-37.1620529248546,1.1794,0.958,1,NA,3.48,NA,NA,"S26390707","Planning"
"EU",-35.8206941138929,1.2404,1,1,NA,NA,NA,NA,"S26390707","Planning"
"EU-Num",-37.211812898443,1.1794,1,1,NA,3.96,NA,NA,"S26390707","Planning"
"PW",-36.2905655231141,1.3256,1,1.1904,NA,NA,NA,NA,"S26390707","Planning"
"PW_DU",-36.91336907,1.3256,0.972,1.2716,NA,NA,NA,NA,"S26390707","Planning"
"Random",-41.0284177920762,1,NA,NA,NA,NA,NA,NA,"S26390707","Heuristic"
"Sampling",-39.3331019005233,NA,NA,NA,NA,NA,412,21.2,"S26390707","Planning"
"Steps",-44.3725080941662,8,NA,NA,1,NA,NA,NA,"S26390707","Heuristic"
"Steps-Cells",-32.9881963476438,0.6466,NA,NA,0.4,NA,NA,NA,"S26390707","Heuristic"
"Steps-Cells-Num",-30.5841560260655,0.248,NA,NA,0.4,0.5,NA,NA,"S26390707","Heuristic"
"Steps-Num",-42.095277615929,3.8578,NA,NA,1,0.1,NA,NA,"S26390707","Heuristic"
"Cells",-43.7317393840374,8,NA,NA,0,NA,NA,NA,"S23160829","Heuristic"
"Cells-Num",-44.6278321621933,2.7584,NA,NA,0,0.42,NA,NA,"S23160829","Heuristic"
"DU",-41.0648558794699,1.2646,0.9,1,NA,NA,NA,NA,"S23160829","Planning"
"DU-Num",-41.9789500927385,0.9896,0.78,1,NA,5.3,NA,NA,"S23160829","Planning"
"EU",-40.3643267235756,1.3498,1,1,NA,NA,NA,NA,"S23160829","Planning"
"EU-Num",-40.3643267235756,1.3498,1,1,NA,10,NA,NA,"S23160829","Planning"
"PW",-36.8778891946833,1.3256,1,0.737,NA,NA,NA,NA,"S23160829","Planning"
"PW_DU",-41.029889028,1.2646,0.944,0.8534,NA,NA,NA,NA,"S23160829","Planning"
"Random",-43.2258423794131,1,NA,NA,NA,NA,NA,NA,"S23160829","Heuristic"
"Sampling",-40.3585208015655,NA,NA,NA,NA,NA,158,17.2,"S23160829","Planning"
"Steps",-42.6259010906917,7.5442,NA,NA,1,NA,NA,NA,"S23160829","Heuristic"
"Steps-Cells",-39.7198505176562,1.3256,NA,NA,0.5,NA,NA,NA,"S23160829","Heuristic"
"Steps-Cells-Num",-37.9468508046434,0.391,NA,NA,0.5,0.5,NA,NA,"S23160829","Heuristic"
"Steps-Num",-42.5858351200252,1.4108,NA,NA,1,0.1,NA,NA,"S23160829","Heuristic"
"Cells",-48.4899657542067,8,NA,NA,0,NA,NA,NA,"S2562215","Heuristic"
"Cells-Num",-45.0780091731079,5.069,NA,NA,0,0.1,NA,NA,"S2562215","Heuristic"
"DU",-40.8872287358584,2.4726,0.54,1,NA,NA,NA,NA,"S2562215","Planning"
"DU-Num",-39.0549891833211,0.4846,0.2,1,NA,0.1,NA,NA,"S2562215","Planning"
"EU",-43.4260903433131,3.8578,1,1,NA,NA,NA,NA,"S2562215","Planning"
"EU-Num",-43.4260903433131,3.8578,1,1,NA,10,NA,NA,"S2562215","Planning"
"PW",-40.0826376019064,2.4252,1,0.3358,NA,NA,NA,NA,"S2562215","Planning"
"PW_DU",-41.3014223,2.4726,0.52,1.1904,NA,NA,NA,NA,"S2562215","Planning"
"Random",-43.801006514316,1,NA,NA,NA,NA,NA,NA,"S2562215","Heuristic"
"Sampling",-43.3024616277982,NA,NA,NA,NA,NA,10.2,23.8,"S2562215","Planning"
"Steps",-41.237003882194,3.9506,NA,NA,1,NA,NA,NA,"S2562215","Heuristic"
"Steps-Cells",-40.624679609042,2.7584,NA,NA,0.78,NA,NA,NA,"S2562215","Heuristic"
"Steps-Cells-Num",-39.9753614901435,0.4846,NA,NA,0.8,0.1,NA,NA,"S2562215","Heuristic"
"Steps-Num",-39.9740085083388,0.6778,NA,NA,1,0.1,NA,NA,"S2562215","Heuristic"
"Cells",-51.4268334023825,8,NA,NA,0,NA,NA,NA,"S29783971","Heuristic"
"Cells-Num",-47.0948019239315,5.8508,NA,NA,0,0.1,NA,NA,"S29783971","Heuristic"
"DU",-39.0803446559177,1.8536,0.5,1,NA,NA,NA,NA,"S29783971","Planning"
"DU-Num",-37.146379293497,0.4222,0.2,1,NA,0.1,NA,NA,"S29783971","Planning"
"EU",-46.285544252016,5.069,1,1,NA,NA,NA,NA,"S29783971","Planning"
"EU-Num",-46.285544252016,5.069,1,1,NA,10,NA,NA,"S29783971","Planning"
"PW",-40.7878388490504,2.0202,1,0.2254,NA,NA,NA,NA,"S29783971","Planning"
"PW_DU",-40.88275436,1.8536,0.558,1.639,NA,NA,NA,NA,"S29783971","Planning"
"Random",-45.7108490342014,1,NA,NA,NA,NA,NA,NA,"S29783971","Heuristic"
"Sampling",-54.9279779768347,NA,NA,NA,NA,NA,8.4,11.6,"S29783971","Planning"
"Steps",-40.5242003359787,2.9916,NA,NA,1,NA,NA,NA,"S29783971","Heuristic"
"Steps-Cells",-40.7298164956449,1.8536,NA,NA,0.76,NA,NA,NA,"S29783971","Heuristic"
"Steps-Cells-Num",-40.1766964089264,0.3688,NA,NA,0.78,0.1,NA,NA,"S29783971","Heuristic"
"Steps-Num",-40.3268106636503,0.5594,NA,NA,1,0.1,NA,NA,"S29783971","Heuristic"
"Cells",-37.2487247681967,3.6246,NA,NA,0,NA,NA,NA,"S96288085","Heuristic"
"Cells-Num",-38.0279952519682,0.824,NA,NA,0,0.18,NA,NA,"S96288085","Heuristic"
"DU",-33.6014636933024,0.948,0.99,1,NA,NA,NA,NA,"S96288085","Planning"
"DU-Num",-40.2832619951351,0.5496,0.716,1,NA,4.14,NA,NA,"S96288085","Planning"
"EU",-33.5289054528251,0.948,1,1,NA,NA,NA,NA,"S96288085","Planning"
"EU-Num",-33.791860619306,0.948,1,1,NA,9,NA,NA,"S96288085","Planning"
"PW",-33.2188187134904,1.009,1,1.028,NA,NA,NA,NA,"S96288085","Planning"
"PW_DU",-36.453988575,0.948,0.916,1.3848,NA,NA,NA,NA,"S96288085","Planning"
"Random",-41.1464008377332,1,NA,NA,NA,NA,NA,NA,"S96288085","Heuristic"
"Sampling",-37.0393350640662,NA,NA,NA,NA,NA,406,19.6,"S96288085","Planning"
"Steps",-43.9533098375909,8,NA,NA,1,NA,NA,NA,"S96288085","Heuristic"
"Steps-Cells",-32.5517087943204,0.6342,NA,NA,0.4,NA,NA,NA,"S96288085","Heuristic"
"Steps-Cells-Num",-34.2599234345831,0.3778,NA,NA,0.4,2.5,NA,NA,"S96288085","Heuristic"
"Steps-Num",-42.1237902955954,3.6246,NA,NA,1,0.1,NA,NA,"S96288085","Heuristic"
"Cells",-46.9821566835426,8,NA,NA,0,NA,NA,NA,"S83711183","Heuristic"
"Cells-Num",-43.168785125605,5.8508,NA,NA,0,0.1,NA,NA,"S83711183","Heuristic"
"DU",-37.5990923846766,1.8536,0.56,1,NA,NA,NA,NA,"S83711183","Planning"
"DU-Num",-36.7150842290728,0.4846,0.2,1,NA,0.1,NA,NA,"S83711183","Planning"
"EU",-42.1432552696569,4.091,1,1,NA,NA,NA,NA,"S83711183","Planning"
"EU-Num",-42.1432552696569,4.091,1,1,NA,10,NA,NA,"S83711183","Planning"
"PW",-37.3778416137851,1.8536,1,0.3358,NA,NA,NA,NA,"S83711183","Planning"
"PW_DU",-37.34919604,1.8536,0.8,0.5386,NA,NA,NA,NA,"S83711183","Planning"
"Random",-41.8395480182932,1,NA,NA,NA,NA,NA,NA,"S83711183","Heuristic"
"Sampling",-62.2558661212748,NA,NA,NA,NA,NA,13,16.4,"S83711183","Planning"
"Steps",-37.3047724906149,3.3914,NA,NA,1,NA,NA,NA,"S83711183","Heuristic"
"Steps-Cells",-38.0257798933204,2.1394,NA,NA,0.76,NA,NA,NA,"S83711183","Heuristic"
"Steps-Cells-Num",-38.5313575935381,0.4624,NA,NA,0.82,0.1,NA,NA,"S83711183","Heuristic"
"Steps-Num",-37.3642957939577,0.6342,NA,NA,1,0.1,NA,NA,"S83711183","Heuristic"
"Cells",-56.1433696452147,8,NA,NA,0,NA,NA,NA,"S63890076","Heuristic"
"Cells-Num",-47.3390046231362,8,NA,NA,0,0.1,NA,NA,"S63890076","Heuristic"
"DU",-18.0985585971045,0.9044,0,1,NA,NA,NA,NA,"S63890076","Planning"
"DU-Num",-16.0460980650665,0.2924,0,1,NA,0.34,NA,NA,"S63890076","Planning"
"EU",-47.2791206039785,8,1,1,NA,NA,NA,NA,"S63890076","Planning"
"EU-Num",-47.2791206039785,8,1,1,NA,10,NA,NA,"S63890076","Planning"
"PW",-19.3764869046801,0.4936,1,0.1,NA,NA,NA,NA,"S63890076","Planning"
"PW_DU",-20.984458757,0.6952,0.396,1.0456,NA,NA,NA,NA,"S63890076","Planning"
"Random",-45.7108490342014,1,NA,NA,NA,NA,NA,NA,"S63890076","Heuristic"
"Sampling",-33.8698816029535,NA,NA,NA,NA,NA,8.8,1.2,"S63890076","Planning"
"Steps",-32.5186475521228,0.652,NA,NA,1,NA,NA,NA,"S63890076","Heuristic"
"Steps-Cells",-32.5186475521228,0.652,NA,NA,1,NA,NA,NA,"S63890076","Heuristic"
"Steps-Cells-Num",-32.0871994476629,0.264,NA,NA,1,2.4,NA,NA,"S63890076","Heuristic"
"Steps-Num",-32.0871994476629,0.264,NA,NA,1,2.4,NA,NA,"S63890076","Heuristic"
"Cells",-45.5412918063885,5.8508,NA,NA,0,NA,NA,NA,"S31642753","Heuristic"
"Cells-Num",-45.092099119439,0.948,NA,NA,0,0.1,NA,NA,"S31642753","Heuristic"
"DU",-33.62461424369,0.765,0.91,1,NA,NA,NA,NA,"S31642753","Planning"
"DU-Num",-33.62461424369,0.765,0.91,1,NA,10,NA,NA,"S31642753","Planning"
"EU",-35.9511855540773,0.887,1,1,NA,NA,NA,NA,"S31642753","Planning"
"EU-Num",-35.9511855540773,0.887,1,1,NA,10,NA,NA,"S31642753","Planning"
"PW",-37.6124913449449,0.948,1,0.8534,NA,NA,NA,NA,"S31642753","Planning"
"PW_DU",-33.5030264031,0.7214,0.79,1.5472,NA,NA,NA,NA,"S31642753","Planning"
"Random",-45.9984311016528,1,NA,NA,NA,NA,NA,NA,"S31642753","Heuristic"
"Sampling",-35.6818882743189,NA,NA,NA,NA,NA,46,4.4,"S31642753","Planning"
"Steps",-45.6183697174834,6.6326,NA,NA,1,NA,NA,NA,"S31642753","Heuristic"
"Steps-Cells",-38.4361536500889,0.603,NA,NA,0.48,NA,NA,NA,"S31642753","Heuristic"
"Steps-Cells-Num",-34.4267870203944,0.2862,NA,NA,0.5,1,NA,NA,"S31642753","Heuristic"
"Steps-Num",-45.7602937063384,1.53,NA,NA,1,0.1,NA,NA,"S31642753","Heuristic"
"Cells",-50.7691021588774,8,NA,NA,0,NA,NA,NA,"S88398768","Heuristic"
"Cells-Num",-45.5209188057226,6.1768,NA,NA,0,0.1,NA,NA,"S88398768","Heuristic"
"DU",-33.1178360591476,1.7344,0.24,1,NA,NA,NA,NA,"S88398768","Planning"
"DU-Num",-34.5516538215625,0.9286,0.2,1,NA,2.62,NA,NA,"S88398768","Planning"
"EU",-45.1429950023159,5.069,1,1,NA,NA,NA,NA,"S88398768","Planning"
"EU-Num",-45.1429950023159,5.069,1,1,NA,10,NA,NA,"S88398768","Planning"
"PW",-32.3719076793086,1.4108,1,0.161,NA,NA,NA,NA,"S88398768","Planning"
"PW_DU",-34.870135072,1.6492,0.476,0.1342,NA,NA,NA,NA,"S88398768","Planning"
"Random",-44.2065716274245,1,NA,NA,NA,NA,NA,NA,"S88398768","Heuristic"
"Sampling",-41.2351944307446,NA,NA,NA,NA,NA,11.6,1,"S88398768","Planning"
"Steps",-31.7536745810905,1.8536,NA,NA,1,NA,NA,NA,"S88398768","Heuristic"
"Steps-Cells",-32.1909054067314,1.0942,NA,NA,0.76,NA,NA,NA,"S88398768","Heuristic"
"Steps-Cells-Num",-32.400160867667,0.216,NA,NA,0.76,0.1,NA,NA,"S88398768","Heuristic"
"Steps-Num",-32.5975775316205,0.3466,NA,NA,1,0.1,NA,NA,"S88398768","Heuristic"
"Cells",-45.8109108248866,8,NA,NA,0,NA,NA,NA,"S89949743","Heuristic"
"Cells-Num",-45.0415063824704,2.4252,NA,NA,0,0.1,NA,NA,"S89949743","Heuristic"
"DU",-42.4284945450579,1.2646,0.77,1,NA,NA,NA,NA,"S89949743","Planning"
"DU-Num",-38.6923118192972,0.5282,0.46,1,NA,0.8,NA,NA,"S89949743","Planning"
"EU",-41.7831502281307,1.8536,1,1,NA,NA,NA,NA,"S89949743","Planning"
"EU-Num",-41.7831502281307,1.8536,1,1,NA,10,NA,NA,"S89949743","Planning"
"PW",-43.9727526805856,1.564,1,0.6116,NA,NA,NA,NA,"S89949743","Planning"
"PW_DU",-42.356315885,1.2646,0.68,1.6924,NA,NA,NA,NA,"S89949743","Planning"
"Random",-43.918989559973,1,NA,NA,NA,NA,NA,NA,"S89949743","Heuristic"
"Sampling",-50.6380870023583,NA,NA,NA,NA,NA,9.2,14.2,"S89949743","Planning"
"Steps",-43.8897430736335,5.5248,NA,NA,1,NA,NA,NA,"S89949743","Heuristic"
"Steps-Cells",-42.7596752843673,1.2404,NA,NA,0.52,NA,NA,NA,"S89949743","Heuristic"
"Steps-Cells-Num",-43.2077573549651,0.4534,NA,NA,0.56,0.5,NA,NA,"S89949743","Heuristic"
"Steps-Num",-43.874687596886,1.0332,NA,NA,1,0.1,NA,NA,"S89949743","Heuristic"
"Cells",-41.7579697733536,3.6912,NA,NA,0,NA,NA,NA,"S17992293","Heuristic"
"Cells-Num",-39.8780189661133,1.6492,NA,NA,0,0.5,NA,NA,"S17992293","Heuristic"
"DU",-32.5818522506763,0.7388,0.99,1,NA,NA,NA,NA,"S17992293","Planning"
