"subject","world","step","rt","Cell","decisionNumber","treeDepth"
"S2231716","3ways_1",3,1040,"Decision",2,1
"S2231716","3ways_2",1,1423,"Start",1,2
"S2231716","3ways_2",3,2249,"Decision",2,1
"S2231716","Equal_8vs8",1,2231,"Start",1,1
"S2231716","Equal_4vs2_mirror",1,1564,"Start",1,1
"S2231716","Equal_6vs3",1,1416,"Start",1,1
"S2231716","Equal_7vs2_mirror",1,1162,"Start",1,1
"S2231716","Equal_7vs2",1,917,"Start",1,1
"S2231716","Equal_8vs8_mirror",1,1581,"Start",1,1
"S2231716","6vs1_2",1,2143,"Start",1,1
"S2231716","Equal_2vs5_mirror",1,1481,"Start",1,1
"S2231716","3ways_1_mirror",1,1259,"Start",1,2
"S2231716","3ways_1_mirror",3,1087,"Decision",2,1
"S2231716","Equal_4vs2",1,1133,"Start",1,1
"S2231716","3ways_3_mirror",1,1100,"Start",1,3
"S2231716","3ways_3_mirror",3,591,"Decision",2,2
"S2231716","6vs2_mirror",1,963,"Start",1,1
"S2231716","4ways",1,1144,"Start",1,4
"S2231716","4ways",3,1296,"Decision",2,3
"S2231716","4ways",9,847,"Decision",3,2
"S2231716","4ways",10,528,"Decision",4,1
"S2231716","Equal_8vs3",1,8301,"Start",1,1
"S2231716","Equal_2vs5",1,1420,"Start",1,1
"S2231716","4vs1",1,985,"Start",1,2
"S2231716","3ways_4_mirror",1,972,"Start",1,2
"S2231716","3ways_4_mirror",3,663,"Decision",2,1
"S2231716","3ways_2_mirror",1,2220,"Start",1,2
"S2231716","3ways_2_mirror",3,792,"Decision",2,1
"S2231716","Equal_6vs6",1,1160,"Start",1,1
"S2231716","Loop_1_mirror",1,2646,"Start",1,1
"S2231716","4vs1_mirror",1,1027,"Start",1,1
"S2231716","Loop_1",1,2524,"Start",1,1
"S2231716","Equal_10vs2",1,1620,"Start",1,1
"S2231716","Equal_6vs3_mirror",1,1273,"Start",1,1
"S2231716","Equal_8vs3_mirror",1,1755,"Start",1,1
"S2231716","3ways_3",1,1095,"Start",1,2
"S2231716","Equal_6vs6_mirror",1,1553,"Start",1,1
"S2231716","Equal_10vs2_mirror",1,1749,"Start",1,1
"S2231716","6vs1_1_mirror",1,876,"Start",1,1
"S2231716","Loop_2_mirror",1,902,"Start",1,1
"S2231716","6vs1_2_mirror",1,1820,"Start",1,1
"S2231716","Equal_7vs9",1,4368,"Start",1,1
"S2231716","Equal_7vs9_mirror",1,1687,"Start",1,1
"S84110968","3ways_1",1,12490,"Start",1,2
"S84110968","3ways_1",4,873,"Decision",2,1
"S84110968","3ways_4",1,3826,"Start",1,2
"S84110968","4vs1",1,1700,"Start",1,2
"S84110968","4vs1",4,1715,"Decision",2,1
"S84110968","Equal_6vs6_mirror",1,2308,"Start",1,1
"S84110968","Equal_6vs3_mirror",1,1136,"Start",1,1
"S84110968","Equal_8vs8_mirror",1,941,"Start",1,1
"S84110968","6vs1_2",1,2851,"Start",1,1
"S84110968","Equal_7vs2_mirror",1,1954,"Start",1,1
"S84110968","6vs1_2_mirror",1,2469,"Start",1,1
"S84110968","Loop_1_mirror",1,1915,"Start",1,1
"S84110968","Equal_4vs2",1,1117,"Start",1,1
"S84110968","6vs1_1",1,1825,"Start",1,1
"S84110968","3ways_3",1,1462,"Start",1,2
"S84110968","3ways_3",6,1158,"Decision",2,1
"S84110968","Equal_7vs9_mirror",1,3718,"Start",1,1
"S84110968","6vs2_mirror",1,1257,"Start",1,1
"S84110968","3ways_3_mirror",1,1494,"Start",1,3
"S84110968","Loop_2_mirror",1,36620,"Start",1,1
"S84110968","6vs2",1,1145,"Start",1,1
"S84110968","3ways_2",1,1744,"Start",1,2
"S84110968","3ways_1_mirror",1,2065,"Start",1,2
"S84110968","Equal_6vs6",1,27807,"Start",1,1
"S84110968","Equal_10vs2_mirror",1,1762,"Start",1,1
"S84110968","Equal_6vs3",1,1215,"Start",1,1
"S84110968","6vs1_1_mirror",1,1713,"Start",1,1
"S84110968","Equal_10vs2",1,2890,"Start",1,1
"S84110968","Loop_1",1,1246,"Start",1,1
"S84110968","Equal_8vs8",1,1360,"Start",1,1
"S84110968","4vs1_mirror",1,1333,"Start",1,1
"S84110968","Equal_4vs2_mirror",1,1144,"Start",1,1
"S84110968","Loop_2",1,1630,"Start",1,1
"S84110968","3ways_4_mirror",1,1259,"Start",1,2
"S84110968","3ways_4_mirror",3,1297,"Decision",2,1
"S84110968","Equal_8vs3",1,2283,"Start",1,1
"S84110968","Equal_7vs2",1,1194,"Start",1,1
"S84110968","Equal_8vs3_mirror",1,191667,"Start",1,1
"S84110968","Equal_2vs5",1,1066,"Start",1,1
"S84110968","4ways",1,13253,"Start",1,4
"S84110968","4ways",8,1192,"Decision",2,3
"S84110968","Equal_7vs9",1,2584,"Start",1,1
"S84110968","4ways_mirror",1,2034,"Start",1,4
"S84110968","4ways_mirror",3,1362,"Decision",2,3
"S84110968","4ways_mirror",9,1306,"Decision",3,2
"S84110968","4ways_mirror",10,596,"Decision",4,1
"S91150056","Equal_6vs3_mirror",1,7924,"Start",1,1
"S91150056","6vs1_1_mirror",1,4844,"Start",1,1
"S91150056","Loop_2_mirror",1,4525,"Start",1,1
"S91150056","Equal_8vs8_mirror",1,2851,"Start",1,1
"S91150056","Equal_8vs3_mirror",1,3678,"Start",1,1
"S91150056","Equal_6vs3",1,1835,"Start",1,1
"S91150056","6vs1_2",1,3101,"Start",1,1
"S91150056","Equal_8vs8",1,1328,"Start",1,1
"S91150056","Equal_7vs2_mirror",1,3447,"Start",1,1
"S91150056","Loop_1_mirror",1,2884,"Start",1,1
"S91150056","4ways",1,7498,"Start",1,4
"S91150056","4ways",8,1362,"Decision",2,3
"S91150056","4ways_mirror",1,3192,"Start",1,4
"S91150056","4ways_mirror",8,1292,"Decision",2,3
"S91150056","Loop_2",1,1567,"Start",1,1
"S91150056","6vs2",1,5220,"Start",1,1
"S91150056","6vs1_2_mirror",1,2342,"Start",1,1
"S91150056","3ways_3",1,1751,"Start",1,2
"S91150056","3ways_3",6,1208,"Decision",2,1
"S91150056","Equal_10vs2",1,1924,"Start",1,1
"S91150056","3ways_2_mirror",1,1500,"Start",1,2
"S91150056","3ways_2_mirror",8,992,"Decision",2,1
"S91150056","Equal_6vs6_mirror",1,2573,"Start",1,1
"S91150056","Equal_4vs2_mirror",1,2107,"Start",1,1
"S91150056","6vs1_1",1,3779,"Start",1,1
"S91150056","3ways_1_mirror",1,2220,"Start",1,2
"S91150056","3ways_1_mirror",7,1239,"Decision",2,1
"S91150056","Equal_8vs3",1,2386,"Start",1,1
"S91150056","3ways_4",1,1808,"Start",1,2
"S91150056","Equal_6vs6",1,1382,"Start",1,1
"S91150056","3ways_4_mirror",1,1711,"Start",1,2
"S91150056","3ways_4_mirror",6,868,"Decision",2,1
"S91150056","6vs2_mirror",1,2048,"Start",1,1
"S91150056","Loop_1",1,2166,"Start",1,1
"S91150056","3ways_2",1,2660,"Start",1,2
"S91150056","Equal_4vs2",1,1897,"Start",1,1
"S91150056","Equal_7vs2",1,1643,"Start",1,1
"S91150056","Equal_7vs9_mirror",1,5360,"Start",1,1
"S91150056","Equal_2vs5",1,1816,"Start",1,1
"S91150056","Equal_10vs2_mirror",1,1392,"Start",1,1
"S91150056","4vs1",1,2658,"Start",1,2
"S91150056","4vs1",4,940,"Decision",2,1
"S91150056","3ways_3_mirror",1,1376,"Start",1,3
"S91150056","Equal_2vs5_mirror",1,1248,"Start",1,1
"S91150056","3ways_1",1,1093,"Start",1,2
"S91150056","3ways_1",4,733,"Decision",2,1
"S91150056","4vs1_mirror",1,1297,"Start",1,1
"S91150056","Equal_7vs9",1,1881,"Start",1,1
"S50703067","6vs2_mirror",1,2998,"Start",1,1
"S50703067","Equal_6vs3",1,2099,"Start",1,1
"S50703067","3ways_4",1,2667,"Start",1,2
"S50703067","3ways_2",1,3105,"Start",1,2
"S50703067","Equal_4vs2",1,1943,"Start",1,1
"S50703067","3ways_1",1,16663,"Start",1,2
"S50703067","3ways_1",4,1235,"Decision",2,1
"S50703067","Equal_8vs8",1,2129,"Start",1,1
"S50703067","4ways_mirror",1,1613,"Start",1,4
"S50703067","4ways_mirror",5,1578,"Decision",2,3
"S50703067","4ways_mirror",6,663,"Decision",3,2
"S50703067","4ways_mirror",14,2257,"Decision",4,1
"S50703067","6vs1_1_mirror",1,2114,"Start",1,1
"S50703067","Loop_2_mirror",1,5589,"Start",1,1
"S50703067","Equal_7vs2_mirror",1,1494,"Start",1,1
"S50703067","4vs1",1,973,"Start",1,2
"S50703067","4vs1",4,1088,"Decision",2,1
"S50703067","Equal_6vs6_mirror",1,3118,"Start",1,1
"S50703067","Loop_1",1,1920,"Start",1,1
"S50703067","4vs1_mirror",1,1398,"Start",1,1
"S50703067","6vs1_2_mirror",1,2118,"Start",1,1
"S50703067","6vs1_2",1,1787,"Start",1,1
"S50703067","4ways",1,1138,"Start",1,4
"S50703067","4ways",5,230,"Decision",2,3
"S50703067","4ways",6,890,"Decision",3,2
"S50703067","4ways",14,1220,"Decision",4,1
"S50703067","Equal_7vs9",1,1458,"Start",1,1
"S50703067","3ways_3_mirror",1,1087,"Start",1,3
"S50703067","Equal_6vs3_mirror",1,1691,"Start",1,1
"S50703067","Equal_8vs8_mirror",1,925,"Start",1,1
"S50703067","Loop_2",1,1940,"Start",1,1
"S50703067","Equal_2vs5_mirror",1,1309,"Start",1,1
"S50703067","Equal_8vs3_mirror",1,991,"Start",1,1
"S50703067","Equal_6vs6",1,1410,"Start",1,1
"S50703067","Loop_1_mirror",1,2181,"Start",1,1
"S50703067","Equal_7vs2",1,1072,"Start",1,1
"S50703067","6vs2",1,770,"Start",1,1
"S50703067","Equal_7vs9_mirror",1,1043,"Start",1,1
"S50703067","3ways_1_mirror",1,925,"Start",1,2
"S50703067","3ways_1_mirror",7,274,"Decision",2,1
"S50703067","3ways_4_mirror",1,784,"Start",1,2
"S50703067","3ways_2_mirror",1,1195,"Start",1,2
"S50703067","3ways_2_mirror",8,926,"Decision",2,1
"S50703067","6vs1_1",1,1250,"Start",1,1
"S50703067","Equal_8vs3",1,1458,"Start",1,1
"S50703067","Equal_4vs2_mirror",1,1138,"Start",1,1
"S50703067","Equal_10vs2_mirror",1,1358,"Start",1,1
"S50703067","Equal_2vs5",1,1144,"Start",1,1
"S50703067","3ways_3",1,896,"Start",1,2
"S50703067","3ways_3",6,901,"Decision",2,1
"S50703067","Equal_10vs2",1,1150,"Start",1,1
"S13676248","3ways_2",1,6996,"Start",1,2
"S13676248","3ways_2",3,1003,"Decision",2,1
"S13676248","Equal_7vs9_mirror",1,1855,"Start",1,1
"S13676248","3ways_3",1,3493,"Start",1,2
"S13676248","3ways_3",6,3983,"Decision",2,1
"S13676248","6vs1_1_mirror",1,1985,"Start",1,1
"S13676248","Loop_2",1,6116,"Start",1,1
"S13676248","3ways_3_mirror",1,1520,"Start",1,3
"S13676248","Equal_6vs3",1,3389,"Start",1,1
"S13676248","3ways_1_mirror",1,8235,"Start",1,2
"S13676248","3ways_1_mirror",3,853,"Decision",2,1
"S13676248","6vs1_1",1,1731,"Start",1,1
"S13676248","Equal_8vs8",1,1707,"Start",1,1
"S13676248","Equal_7vs2",1,5988,"Start",1,1
"S13676248","6vs1_2",1,2510,"Start",1,1
"S13676248","Equal_2vs5",1,1777,"Start",1,1
"S13676248","6vs1_2_mirror",1,2083,"Start",1,1
"S13676248","6vs2",1,2594,"Start",1,1
"S13676248","Equal_2vs5_mirror",1,1907,"Start",1,1
"S13676248","Equal_6vs6_mirror",1,3158,"Start",1,1
"S13676248","Equal_6vs3_mirror",1,4104,"Start",1,1
"S13676248","4ways",1,4763,"Start",1,4
"S13676248","4ways",3,652,"Decision",2,3
"S13676248","4ways",9,1141,"Decision",3,2
"S13676248","4ways",10,662,"Decision",4,1
"S13676248","Equal_7vs2_mirror",1,1615,"Start",1,1
"S13676248","Equal_4vs2_mirror",1,2493,"Start",1,1
"S13676248","Equal_10vs2",1,2088,"Start",1,1
"S13676248","3ways_1",1,3044,"Start",1,2
"S13676248","3ways_1",4,2626,"Decision",2,1
"S13676248","Equal_7vs9",1,3101,"Start",1,1
"S13676248","6vs2_mirror",1,1748,"Start",1,1
"S13676248","Equal_4vs2",1,2270,"Start",1,1
