subject	world	trialNo	steps	path	times
S4032586	hard_hallway_0	21	321	p(14,5)p(13,5);p(12,5);p(11,5);p(10,5);p(9,5);p(8,5);p(7,5);p(6,5);p(5,5);p(4,5);p(3,5);p(2,5);p(1,5);p(0,5);p(1,5);p(2,5);p(3,5);p(4,5);p(5,5);p(6,5);p(7,5);p(8,5);p(9,5);p(10,5);p(11,5);p(12,5);p(13,5);p(14,5);p(14,4);p(14,3);p(14,2);p(14,1);p(14,0);p(13,0);p(12,0);p(12,1);p(12,2);p(12,3);	3247;735;718;746;837;1300;711;778;824;738;1130;881;917;825;1145;804;896;891;799;957;777;931;881;716;702;727;704;761;809;748;745;718;744;1210;753;921;734;826;
S4032586	hard_two_big_rooms_1	22	332	p(9,3)p(10,3);p(11,3);p(12,3);p(12,2);p(12,1);p(12,0);p(13,0);p(14,0);p(15,0);p(16,0);p(17,0);	1663;753;797;1191;720;960;1071;705;689;882;720;
S4032586	hard_hallway_0_copy	23	364	p(0,0)p(0,1);p(0,2);p(0,3);p(0,4);p(0,5);p(0,6);p(1,6);p(2,6);p(3,6);p(4,6);p(5,6);p(6,6);p(7,6);p(8,6);p(9,6);p(10,6);p(11,6);p(12,6);p(13,6);p(14,6);p(15,6);p(15,5);p(15,4);p(15,3);p(15,2);p(15,1);p(15,0);p(14,0);p(13,0);p(12,0);p(12,1);p(12,2);	4095;737;785;729;745;726;1504;869;1102;972;820;976;1242;752;814;1507;878;716;846;820;832;994;758;825;844;768;797;750;761;834;1043;735;
S47525094	easy_spider_3	1	19	p(2,3)p(2,2);p(2,1);p(1,1);p(0,1);p(1,1);p(2,1);p(2,2);p(2,3);p(2,4);p(2,5);p(2,4);p(2,3);p(3,3);p(4,3);p(5,3);p(6,3);p(6,2);p(6,1);p(6,0);	4202;616;1037;609;889;599;515;520;632;813;937;586;600;730;947;579;880;634;1318;
S47525094	easy_large_loop_1	2	34	p(0,4)p(0,5);p(0,6);p(0,7);p(0,8);p(0,7);p(0,6);p(0,5);p(0,4);p(1,4);p(2,4);p(3,4);p(4,4);p(5,4);p(6,4);p(6,3);	2729;574;548;580;887;602;649;671;1924;636;624;654;676;643;884;
S47525094	easy_labyrinth	3	40	p(0,2)p(1,2);p(2,2);p(3,2);p(4,2);p(4,1);p(4,0);	3084;642;664;1145;1018;622;
S47525094	easy_spider_1	4	47	p(2,3)p(2,4);p(2,5);p(2,6);p(1,6);p(0,6);p(0,5);p(0,4);	2221;593;672;919;621;916;575;
S47525094	easy_spider_3_copy	5	56	p(2,5)p(3,5);p(4,5);p(5,5);p(6,5);p(7,5);p(8,5);p(9,5);p(9,6);p(9,7);	2714;698;585;761;702;687;615;875;599;
S47525094	easy_large_loop_2_copy	6	87	p(0,0)p(1,0);p(2,0);p(3,0);p(4,0);p(5,0);p(6,0);p(7,0);p(7,1);p(8,1);p(9,1);p(10,1);p(11,1);p(12,1);p(13,1);p(13,2);p(13,3);p(13,2);p(13,1);p(12,1);p(11,1);p(10,1);p(9,1);p(8,1);p(7,1);p(7,2);p(7,3);p(7,4);p(7,5);p(7,6);p(7,7);p(6,7);	4150;626;557;600;632;1273;640;1153;2207;667;643;680;600;802;856;618;2374;608;626;576;603;563;656;559;595;607;606;520;561;562;751;
S47525094	easy_large_loop_2	7	100	p(0,0)p(1,0);p(2,0);p(3,0);p(4,0);p(5,0);p(5,1);p(6,1);p(7,1);p(8,1);p(9,1);p(9,2);p(9,3);p(9,4);	2964;633;586;631;922;933;1522;593;601;616;1176;615;610;
S47525094	easy_spider_2	8	122	p(4,5)p(3,5);p(2,5);p(1,5);p(0,5);p(1,5);p(2,5);p(3,5);p(4,5);p(4,4);p(4,3);p(4,2);p(4,1);p(3,1);p(2,1);p(3,1);p(4,1);p(5,1);p(6,1);p(6,2);p(6,3);p(6,4);p(7,4);	2196;647;584;617;972;567;572;571;616;550;611;553;1229;529;842;551;711;673;614;593;855;843;
S47525094	medium_library_rotate	9	129	p(2,1)p(3,1);p(4,1);p(3,1);p(2,1);p(2,2);p(2,3);p(3,3);	1370;608;1942;961;644;561;921;
S47525094	medium_cathedral_copy	10	164	p(4,4)p(5,4);p(6,4);p(7,4);p(8,4);p(8,3);p(8,2);p(8,1);p(8,0);p(9,0);p(10,0);p(9,0);p(8,0);p(8,1);p(8,2);p(8,3);p(8,4);p(8,5);p(8,6);p(8,7);p(8,8);p(8,7);p(8,6);p(8,5);p(8,4);p(7,4);p(6,4);p(5,4);p(4,4);p(3,4);p(2,4);p(1,4);p(0,4);p(0,5);p(0,6);p(0,7);	2128;580;601;689;672;657;593;819;1884;576;961;1254;688;640;585;664;678;618;552;617;961;696;652;585;585;640;561;618;680;629;631;552;1339;617;1469;
S47525094	medium_roomG_copy	11	181	p(6,3)p(7,3);p(8,3);p(9,3);p(10,3);p(11,3);p(11,2);p(11,1);p(12,1);p(13,1);p(12,1);p(11,1);p(11,2);p(11,3);p(11,4);p(11,5);p(11,6);p(12,6);	2620;572;586;633;864;1041;651;1189;760;947;991;637;585;618;592;682;944;
