"model","LL","tau","gamma","beta","k","bits","budget","c","subject","modeltype"
"DU-Num",-41.2592596668818,0.2862,0,1,NA,0.1,NA,NA,"S22421849","Planning"
"EU",-45.8228521101796,2.925,1,1,NA,NA,NA,NA,"S22421849","Planning"
"EU-Num",-45.8229198420445,2.925,1,1,NA,10,NA,NA,"S22421849","Planning"
"PW",-46.4951853600182,1.8536,1,0.2972,NA,NA,NA,NA,"S22421849","Planning"
"PW_DU",-43.6278784755361,1.53,0.04,2,NA,NA,NA,NA,"S22421849","Planning"
"Random",-67.2647787010794,1,NA,NA,NA,NA,NA,NA,"S22421849","Heuristic"
"Sampling",-67.8422810819038,NA,NA,NA,NA,NA,238,34.4,"S22421849","Planning"
"Steps",-42.9925227194765,1.8536,NA,NA,1,NA,NA,NA,"S22421849","Heuristic"
"Steps-Cells",-42.9925227194765,1.8536,NA,NA,1,NA,NA,NA,"S22421849","Heuristic"
"Steps-Cells-Num",-41.5938986005769,0.3022,NA,NA,1,0.1,NA,NA,"S22421849","Heuristic"
"Steps-Num",-41.5938986005769,0.3022,NA,NA,1,0.1,NA,NA,"S22421849","Heuristic"
"Cells",-71.6980931660866,6.3066,NA,NA,0,NA,NA,NA,"S36918207","Heuristic"
"Cells-Num",-71.8651827290745,1.1794,NA,NA,0,0.1,NA,NA,"S36918207","Heuristic"
"DU",-33.92963123116,0.603,0.7,1,NA,NA,NA,NA,"S36918207","Planning"
"DU-Num",-31.6278653595248,0.3556,0.58,1,NA,2.1,NA,NA,"S36918207","Planning"
"EU",-34.6633168858159,1.3256,1,1,NA,NA,NA,NA,"S36918207","Planning"
"EU-Num",-34.6805173884011,1.3256,1,1,NA,6.8,NA,NA,"S36918207","Planning"
"PW",-34.6111769207401,0.5372,1,0.3954,NA,NA,NA,NA,"S36918207","Planning"
"PW_DU",-33.8196952675469,0.5372,0.938,0.4386,NA,NA,NA,NA,"S36918207","Planning"
"Random",-71.0844637408503,1,NA,NA,NA,NA,NA,NA,"S36918207","Heuristic"
"Sampling",-46.0045008072439,NA,NA,NA,NA,NA,156,11.2,"S36918207","Planning"
"Steps",-45.8903152094702,1.3062,NA,NA,1,NA,NA,NA,"S36918207","Heuristic"
"Steps-Cells",-47.1657006166297,0.8434,NA,NA,0.7,NA,NA,NA,"S36918207","Heuristic"
"Steps-Cells-Num",-42.7260415123527,0.248,NA,NA,0.72,0.34,NA,NA,"S36918207","Heuristic"
"Steps-Num",-41.6200926061103,0.3556,NA,NA,1,0.34,NA,NA,"S36918207","Heuristic"
"Cells",-50.8271278979984,2.5918,NA,NA,0,NA,NA,NA,"S58285558","Heuristic"
"Cells-Num",-51.3336420083309,0.603,NA,NA,0,0.1,NA,NA,"S58285558","Heuristic"
"DU",-32.0060964193274,0.8434,0,1,NA,NA,NA,NA,"S58285558","Planning"
"DU-Num",-32.5122901539665,0.5282,0,1,NA,2.8,NA,NA,"S58285558","Planning"
"EU",-32.657588734861,2.092,1,1,NA,NA,NA,NA,"S58285558","Planning"
"EU-Num",-32.7558777868265,2.092,1,1,NA,9.2,NA,NA,"S58285558","Planning"
"PW",-33.6835154795323,2.1394,1,1.6758,NA,NA,NA,NA,"S58285558","Planning"
"PW_DU",-30.4272335365328,0.6778,0,0.1,NA,NA,NA,NA,"S58285558","Planning"
"Random",-51.6615915917895,1,NA,NA,NA,NA,NA,NA,"S58285558","Heuristic"
"Sampling",-48.4615957058306,NA,NA,NA,NA,NA,186,10.4,"S58285558","Planning"
"Steps",-31.1302882021137,0.6154,NA,NA,1,NA,NA,NA,"S58285558","Heuristic"
"Steps-Cells",-33.0194346066598,0.506,NA,NA,0.9,NA,NA,NA,"S58285558","Heuristic"
"Steps-Cells-Num",-30.921795507506,0.248,NA,NA,0.9,0.6,NA,NA,"S58285558","Heuristic"
"Steps-Num",-29.4519760533533,0.248,NA,NA,1,0.5,NA,NA,"S58285558","Heuristic"
"Cells",-58.7527349222551,5.395,NA,NA,0,NA,NA,NA,"S17409629","Heuristic"
"Cells-Num",-58.6915050167336,1.3256,NA,NA,0,0.1,NA,NA,"S17409629","Heuristic"
"DU",-42.9839006714194,1.8536,0.32,1,NA,NA,NA,NA,"S17409629","Planning"
"DU-Num",-44.3316181518221,1.6104,0.32,1,NA,8.02,NA,NA,"S17409629","Planning"
"EU",-47.7660517209189,3.458,1,1,NA,NA,NA,NA,"S17409629","Planning"
"EU-Num",-47.7658051421974,3.458,1,1,NA,10,NA,NA,"S17409629","Planning"
"PW",-41.5050216088772,2.092,1,0.2276,NA,NA,NA,NA,"S17409629","Planning"
"PW_DU",-43.0758860658345,1.8536,0.35,0.719,NA,NA,NA,NA,"S17409629","Planning"
"Random",-58.2407428287972,1,NA,NA,NA,NA,NA,NA,"S17409629","Heuristic"
"Sampling",-58.934620893917,NA,NA,NA,NA,NA,18.2,8.8,"S17409629","Planning"
"Steps",-39.5529666458705,1.8536,NA,NA,1,NA,NA,NA,"S17409629","Heuristic"
"Steps-Cells",-39.9194607085294,1.7344,NA,NA,0.92,NA,NA,NA,"S17409629","Heuristic"
"Steps-Cells-Num",-40.454072698538,0.3244,NA,NA,0.96,0.1,NA,NA,"S17409629","Heuristic"
"Steps-Num",-40.3495842441973,0.3466,NA,NA,1,0.1,NA,NA,"S17409629","Heuristic"
"Cells",-61.9354162119444,4.743,NA,NA,0,NA,NA,NA,"S46572065","Heuristic"
"Cells-Num",-61.9189640966266,1.009,NA,NA,0,0.1,NA,NA,"S46572065","Heuristic"
"DU",-41.3422804218585,1.2646,0.7,1,NA,NA,NA,NA,"S46572065","Planning"
"DU-Num",-45.5680840329302,1.0054,0.53,1,NA,7.02,NA,NA,"S46572065","Planning"
"EU",-35.7329506348887,1.8536,1,1,NA,NA,NA,NA,"S46572065","Planning"
"EU-Num",-35.7330551117211,1.8536,1,1,NA,10,NA,NA,"S46572065","Planning"
"PW",-34.2685970504134,1.4108,1,0.5698,NA,NA,NA,NA,"S46572065","Planning"
"PW_DU",-39.5865273700447,1.2646,0.792,0.526,NA,NA,NA,NA,"S46572065","Planning"
"Random",-62.0607278535711,1,NA,NA,NA,NA,NA,NA,"S46572065","Heuristic"
"Sampling",-37.3679569760324,NA,NA,NA,NA,NA,84,3.6,"S46572065","Planning"
"Steps",-42.4754425920889,1.3062,NA,NA,1,NA,NA,NA,"S46572065","Heuristic"
"Steps-Cells",-44.0245982486546,1.1358,NA,NA,0.86,NA,NA,NA,"S46572065","Heuristic"
"Steps-Cells-Num",-37.3802901760372,0.216,NA,NA,0.88,0.1,NA,NA,"S46572065","Heuristic"
"Steps-Num",-36.7665282510621,0.248,NA,NA,1,0.1,NA,NA,"S46572065","Heuristic"
"Cells",-50.4196694119349,4.417,NA,NA,0,NA,NA,NA,"S21318090","Heuristic"
"Cells-Num",-50.6936248563771,0.887,NA,NA,0,0.1,NA,NA,"S21318090","Heuristic"
"DU",-38.9090959397854,0.6694,0.29,1,NA,NA,NA,NA,"S21318090","Planning"
"DU-Num",-35.6649962281962,0.5412,0.29,1,NA,2.7,NA,NA,"S21318090","Planning"
"EU",-32.5145631369866,1.9728,1,1,NA,NA,NA,NA,"S21318090","Planning"
"EU-Num",-32.5845283734504,1.9728,1,1,NA,9.2,NA,NA,"S21318090","Planning"
"PW",-31.8546695136108,1.009,1,0.2756,NA,NA,NA,NA,"S21318090","Planning"
"PW_DU",-36.8671153171021,0.4776,0.2,0.5998,NA,NA,NA,NA,"S21318090","Planning"
"Random",-50.7860228494352,1,NA,NA,NA,NA,NA,NA,"S21318090","Heuristic"
"Sampling",-35.1165863780343,NA,NA,NA,NA,NA,480,17.2,"S21318090","Planning"
"Steps",-29.2042185098895,0.4846,NA,NA,1,NA,NA,NA,"S21318090","Heuristic"
"Steps-Cells",-29.8428406050728,0.4846,NA,NA,0.94,NA,NA,NA,"S21318090","Heuristic"
"Steps-Cells-Num",-30.3333227057315,0.216,NA,NA,0.96,0.42,NA,NA,"S21318090","Heuristic"
"Steps-Num",-29.7646569762319,0.232,NA,NA,1,0.42,NA,NA,"S21318090","Heuristic"
"Cells",-65.8788070209843,6.6326,NA,NA,0,NA,NA,NA,"S84907806","Heuristic"
"Cells-Num",-65.9234210714255,1.4108,NA,NA,0,0.1,NA,NA,"S84907806","Heuristic"
"DU",-43.7168403345758,1.8876,0.77,1,NA,NA,NA,NA,"S84907806","Planning"
"DU-Num",-41.8563431256657,1.0942,0.68,1,NA,2.32,NA,NA,"S84907806","Planning"
"EU",-47.5598060577757,2.5918,1,1,NA,NA,NA,NA,"S84907806","Planning"
"EU-Num",-47.6614466479044,2.5918,1,1,NA,9.2,NA,NA,"S84907806","Planning"
"PW",-43.6483571752742,1.8876,1,0.4088,NA,NA,NA,NA,"S84907806","Planning"
"PW_DU",-44.9272984352409,1.7684,0.788,1.5626,NA,NA,NA,NA,"S84907806","Planning"
"Random",-65.3568647345764,1,NA,NA,NA,NA,NA,NA,"S84907806","Heuristic"
"Sampling",-68.7000716230884,NA,NA,NA,NA,NA,9.4,8.6,"S84907806","Planning"
"Steps",-46.9402828854151,2.7584,NA,NA,1,NA,NA,NA,"S84907806","Heuristic"
"Steps-Cells",-47.00731444751,1.8536,NA,NA,0.68,NA,NA,NA,"S84907806","Heuristic"
"Steps-Cells-Num",-47.0086691879251,0.3466,NA,NA,0.72,0.1,NA,NA,"S84907806","Heuristic"
"Steps-Num",-46.4085537826799,0.4846,NA,NA,1,0.1,NA,NA,"S84907806","Heuristic"
"Cells",-65.3576390043351,5.721,NA,NA,0,NA,NA,NA,"S55739836","Heuristic"
"Cells-Num",-65.4802989966731,1.07,NA,NA,0,0.1,NA,NA,"S55739836","Heuristic"
"DU",-46.0905001248523,0.7304,0.67,1,NA,NA,NA,NA,"S55739836","Planning"
"DU-Num",-48.8676258298614,0.4678,0.61,1,NA,3.04,NA,NA,"S55739836","Planning"
"EU",-33.3811024339599,1.3256,1,1,NA,NA,NA,NA,"S55739836","Planning"
"EU-Num",-33.528827529074,1.3256,1,1,NA,4.88,NA,NA,"S55739836","Planning"
"PW",-36.3650408594151,0.7152,1,0.4684,NA,NA,NA,NA,"S55739836","Planning"
"PW_DU",-38.9239925369639,0.6382,0.89,0.528,NA,NA,NA,NA,"S55739836","Planning"
"Random",-65.8140458238223,1,NA,NA,NA,NA,NA,NA,"S55739836","Heuristic"
"Sampling",-47.8840610652714,NA,NA,NA,NA,NA,560,19.6,"S55739836","Planning"
"Steps",-38.2060207663659,1.1794,NA,NA,1,NA,NA,NA,"S55739836","Heuristic"
"Steps-Cells",-38.0170521942103,0.8434,NA,NA,0.7,NA,NA,NA,"S55739836","Heuristic"
"Steps-Cells-Num",-35.6820228048651,0.216,NA,NA,0.78,0.26,NA,NA,"S55739836","Heuristic"
"Steps-Num",-34.6247809882152,0.2,NA,NA,1,0.1,NA,NA,"S55739836","Heuristic"
"Cells",-66.9329292843806,4.417,NA,NA,0,NA,NA,NA,"S95916792","Heuristic"
"Cells-Num",-67.2515411644503,0.826,NA,NA,0,0.1,NA,NA,"S95916792","Heuristic"
"DU",-25.1223052123268,0.6778,0.75,1,NA,NA,NA,NA,"S95916792","Planning"
"DU-Num",-27.3040722513369,0.5906,0.75,1,NA,5.18,NA,NA,"S95916792","Planning"
"EU",-30.2332456585073,1.2404,1,1,NA,NA,NA,NA,"S95916792","Planning"
"EU-Num",-30.5909691640613,1.1552,1,1,NA,5.44,NA,NA,"S95916792","Planning"
"PW",-24.0328460837745,0.6778,1,0.4684,NA,NA,NA,NA,"S95916792","Planning"
"PW_DU",-23.5595248506674,0.6342,0.928,0.528,NA,NA,NA,NA,"S95916792","Planning"
"Random",-67.788326859845,1,NA,NA,NA,NA,NA,NA,"S95916792","Heuristic"
"Sampling",-37.3931370824326,NA,NA,NA,NA,NA,600,27.8,"S95916792","Planning"
"Steps",-33.234800937187,0.7214,NA,NA,1,NA,NA,NA,"S95916792","Heuristic"
"Steps-Cells",-38.0079844582531,0.4936,NA,NA,0.74,NA,NA,NA,"S95916792","Heuristic"
"Steps-Cells-Num",-35.9013262993012,0.216,NA,NA,0.74,0.6,NA,NA,"S95916792","Heuristic"
"Steps-Num",-33.924604693334,0.248,NA,NA,1,0.34,NA,NA,"S95916792","Heuristic"
"Cells",-60.8789479043248,4.743,NA,NA,0,NA,NA,NA,"S7516801","Heuristic"
"Cells-Num",-61.3780759882822,0.948,NA,NA,0,0.1,NA,NA,"S7516801","Heuristic"
"DU",-43.6876317323782,0.7464,0.67,1,NA,NA,NA,NA,"S7516801","Planning"
"DU-Num",-41.1721507975611,0.7304,0.678,1,NA,4.18,NA,NA,"S7516801","Planning"
"EU",-25.2293651361512,1.1552,1,1,NA,NA,NA,NA,"S7516801","Planning"
"EU-Num",-24.5117375280913,1.07,1,1,NA,5,NA,NA,"S7516801","Planning"
"PW",-31.1703362616875,0.9044,1,0.6184,NA,NA,NA,NA,"S7516801","Planning"
"PW_DU",-37.424723217156,0.7686,0.76,0.5962,NA,NA,NA,NA,"S7516801","Planning"
"Random",-61.1316145816971,1,NA,NA,NA,NA,NA,NA,"S7516801","Heuristic"
"Sampling",-31.0065189781227,NA,NA,NA,NA,NA,670,22.8,"S7516801","Planning"
"Steps",-33.0972807781547,0.6466,NA,NA,1,NA,NA,NA,"S7516801","Heuristic"
"Steps-Cells",-34.3693641851777,0.603,NA,NA,0.88,NA,NA,NA,"S7516801","Heuristic"
"Steps-Cells-Num",-35.1607408478083,0.2,NA,NA,0.9,0.34,NA,NA,"S7516801","Heuristic"
"Steps-Num",-33.3491636274755,0.216,NA,NA,1,0.26,NA,NA,"S7516801","Heuristic"
"Cells",-67.467396027765,5.8508,NA,NA,0,NA,NA,NA,"S48890541","Heuristic"
"Cells-Num",-67.7335220510229,1.2134,NA,NA,0,0.1,NA,NA,"S48890541","Heuristic"
"DU",-37.1239410190259,1.009,0.24,1,NA,NA,NA,NA,"S48890541","Planning"
"DU-Num",-40.5778343592424,0.5794,0.16,1,NA,2.7,NA,NA,"S48890541","Planning"
"EU",-47.5673609910153,2.7584,1,1,NA,NA,NA,NA,"S48890541","Planning"
"EU-Num",-47.6586686286705,2.7584,1,1,NA,9.2,NA,NA,"S48890541","Planning"
"PW",-38.6652164100764,1.3256,1,0.1,NA,NA,NA,NA,"S48890541","Planning"
"PW_DU",-37.1390571858305,1.009,0.2,1.0558,NA,NA,NA,NA,"S48890541","Planning"
"Random",-66.6248760650363,1,NA,NA,NA,NA,NA,NA,"S48890541","Heuristic"
"Sampling",-58.476448053838,NA,NA,NA,NA,NA,9.8,1.4,"S48890541","Planning"
"Steps",-38.024645834748,1.07,NA,NA,1,NA,NA,NA,"S48890541","Heuristic"
"Steps-Cells",-38.2597334844315,1.07,NA,NA,0.98,NA,NA,NA,"S48890541","Heuristic"
"Steps-Cells-Num",-38.8075019035708,0.2382,NA,NA,1,0.18,NA,NA,"S48890541","Heuristic"
"Steps-Num",-38.8075019035708,0.2382,NA,NA,1,0.18,NA,NA,"S48890541","Heuristic"
"Cells",-63.8205528532356,7.5442,NA,NA,0,NA,NA,NA,"S18936406","Heuristic"
"Cells-Num",-63.6111636754895,1.8536,NA,NA,0,0.1,NA,NA,"S18936406","Heuristic"
"DU",-38.327974707011,0.9654,0.39,1,NA,NA,NA,NA,"S18936406","Planning"
"DU-Num",-35.2014363305923,0.374,0.16,1,NA,1.28,NA,NA,"S18936406","Planning"
"EU",-37.7023717705707,1.9728,1,1,NA,NA,NA,NA,"S18936406","Planning"
"EU-Num",-37.7027601710481,1.9728,1,1,NA,10,NA,NA,"S18936406","Planning"
"PW",-33.8300688162452,1.3256,1,0.3232,NA,NA,NA,NA,"S18936406","Planning"
"PW_DU",-40.4735470932164,0.9654,0.4,1.3816,NA,NA,NA,NA,"S18936406","Planning"
"Random",-62.5179089428169,1,NA,NA,NA,NA,NA,NA,"S18936406","Heuristic"
"Sampling",-47.1672647649298,NA,NA,NA,NA,NA,55.2,9,"S18936406","Planning"
"Steps",-32.1498137431847,1.07,NA,NA,1,NA,NA,NA,"S18936406","Heuristic"
"Steps-Cells",-32.1498137431847,1.07,NA,NA,1,NA,NA,NA,"S18936406","Heuristic"
"Steps-Cells-Num",-31.336640258145,0.2,NA,NA,1,0.1,NA,NA,"S18936406","Heuristic"
"Steps-Num",-31.336640258145,0.2,NA,NA,1,0.1,NA,NA,"S18936406","Heuristic"
"Cells",-64.5606377122254,3.8578,NA,NA,0,NA,NA,NA,"S69278797","Heuristic"
"Cells-Num",-64.6077062410652,0.7214,NA,NA,0,0.1,NA,NA,"S69278797","Heuristic"
"DU",-33.32344747775,0.887,0.5,1,NA,NA,NA,NA,"S69278797","Planning"
"DU-Num",-33.6614516124,0.887,0.5,1,NA,8.6,NA,NA,"S69278797","Planning"
"EU",-43.1642630197027,2.092,1,1,NA,NA,NA,NA,"S69278797","Planning"
"EU-Num",-43.1640164409812,2.092,1,1,NA,10,NA,NA,"S69278797","Planning"
"PW",-34.1548995089425,1.009,1,0.251,NA,NA,NA,NA,"S69278797","Planning"
"PW_DU",-33.1543988065352,0.887,0.58,0.6116,NA,NA,NA,NA,"S69278797","Planning"
"Random",-65.7605012943025,1,NA,NA,NA,NA,NA,NA,"S69278797","Heuristic"
"Sampling",-50.4531722215833,NA,NA,NA,NA,NA,25,11.6,"S69278797","Planning"
"Steps",-38.1860205891092,0.8122,NA,NA,1,NA,NA,NA,"S69278797","Heuristic"
"Steps-Cells",-35.5224760594322,0.3528,NA,NA,0.54,NA,NA,NA,"S69278797","Heuristic"
"Steps-Cells-Num",-33.5699752590159,0.2,NA,NA,0.56,0.9,NA,NA,"S69278797","Heuristic"
"Steps-Num",-37.628641113484,0.2,NA,NA,1,0.18,NA,NA,"S69278797","Heuristic"
"Cells",-69.1062976262149,8,NA,NA,0,NA,NA,NA,"S44686670","Heuristic"
"Cells-Num",-67.7456614419247,2.925,NA,NA,0,0.1,NA,NA,"S44686670","Heuristic"
"DU",-38.1342813237902,0.835,0.16,1,NA,NA,NA,NA,"S44686670","Planning"
"DU-Num",-41.7013561232,0.264,0.08,1,NA,2.4,NA,NA,"S44686670","Planning"
"EU",-56.1371774804036,4.091,1,1,NA,NA,NA,NA,"S44686670","Planning"
"EU-Num",-56.1371774804036,4.091,1,1,NA,10,NA,NA,"S44686670","Planning"
"PW",-31.9710598193311,1.009,1,0.1,NA,NA,NA,NA,"S44686670","Planning"
"PW_DU",-39.6721021283123,0.713,0.438,0.1,NA,NA,NA,NA,"S44686670","Planning"
"Random",-66.6251760500393,1,NA,NA,NA,NA,NA,NA,"S44686670","Heuristic"
"Sampling",-44.9734903884114,NA,NA,NA,NA,NA,2,9,"S44686670","Planning"
"Steps",-40.9206261652178,0.8924,NA,NA,1,NA,NA,NA,"S44686670","Heuristic"
"Steps-Cells",-40.9206261652178,0.8924,NA,NA,1,NA,NA,NA,"S44686670","Heuristic"
"Steps-Cells-Num",-39.7962370050354,0.3528,NA,NA,1,1.6,NA,NA,"S44686670","Heuristic"
"Steps-Num",-39.7962370050354,0.3528,NA,NA,1,1.6,NA,NA,"S44686670","Heuristic"
"Cells",-58.8093141910398,5.395,NA,NA,0,NA,NA,NA,"S75993041","Heuristic"
"Cells-Num",-59.5690136645169,1.1184,NA,NA,0,0.1,NA,NA,"S75993041","Heuristic"
"DU",-42.7698501482662,1.6492,0.68,1,NA,NA,NA,NA,"S75993041","Planning"
"DU-Num",-45.057503578,0.7076,0.45,1,NA,1.6,NA,NA,"S75993041","Planning"
"EU",-41.8025564741792,2.306,1,1,NA,NA,NA,NA,"S75993041","Planning"
"EU-Num",-41.7949840161994,2.306,1,1,NA,7.4,NA,NA,"S75993041","Planning"
"PW",-41.7518846130332,1.6492,1,0.417,NA,NA,NA,NA,"S75993041","Planning"
"PW_DU",-44.193615226985,1.53,0.778,1.2014,NA,NA,NA,NA,"S75993041","Planning"
"Random",-58.6466079269087,1,NA,NA,NA,NA,NA,NA,"S75993041","Heuristic"
"Sampling",-49.9483204906882,NA,NA,NA,NA,NA,212.2,14.2,"S75993041","Planning"
"Steps",-60.0784235353723,1.5944,NA,NA,1,NA,NA,NA,"S75993041","Heuristic"
"Steps-Cells",-60.1768030788644,1.2708,NA,NA,0.76,NA,NA,NA,"S75993041","Heuristic"
"Steps-Cells-Num",-43.1723228724115,0.49,NA,NA,0.8,0.42,NA,NA,"S75993041","Heuristic"
"Steps-Num",-41.3990810692526,0.6778,NA,NA,1,0.5,NA,NA,"S75993041","Heuristic"
"Cells",-66.3164912205823,5.5248,NA,NA,0,NA,NA,NA,"S23442377","Heuristic"
"Cells-Num",-66.76418429337,1.1184,NA,NA,0,0.1,NA,NA,"S23442377","Heuristic"
"DU",-33.5699571586045,0.6854,0.77,1,NA,NA,NA,NA,"S23442377","Planning"
"DU-Num",-33.181061843,0.6244,0.69,1,NA,3.14,NA,NA,"S23442377","Planning"
"EU",-32.3663339993412,1.4108,1,1,NA,NA,NA,NA,"S23442377","Planning"
"EU-Num",-32.8388208591863,1.3256,1,1,NA,5.04,NA,NA,"S23442377","Planning"
"PW",-32.372763714726,0.6106,1,0.4386,NA,NA,NA,NA,"S23442377","Planning"
"PW_DU",-31.8187131381264,0.6106,0.928,0.528,NA,NA,NA,NA,"S23442377","Planning"
"Random",-65.8140458238223,1,NA,NA,NA,NA,NA,NA,"S23442377","Heuristic"
"Sampling",-36.1028370653828,NA,NA,NA,NA,NA,830,24.4,"S23442377","Planning"
"Steps",-42.0502620050133,1.221,NA,NA,1,NA,NA,NA,"S23442377","Heuristic"
"Steps-Cells",-42.5103462440669,0.8732,NA,NA,0.66,NA,NA,NA,"S23442377","Heuristic"
"Steps-Cells-Num",-37.1035623978794,0.216,NA,NA,0.74,0.26,NA,NA,"S23442377","Heuristic"
"Steps-Num",-35.907951018114,0.216,NA,NA,1,0.18,NA,NA,"S23442377","Heuristic"
"Cells",-48.8170680674226,2.5918,NA,NA,0,NA,NA,NA,"S64821988","Heuristic"
"Cells-Num",-48.8425124879777,0.5158,NA,NA,0,0.1,NA,NA,"S64821988","Heuristic"
"DU",-21.9945403538306,0.7214,0.81,1,NA,NA,NA,NA,"S64821988","Planning"
"DU-Num",-21.321731684,0.4312,0.76,1,NA,1.3,NA,NA,"S64821988","Planning"
"EU",-25.4909836784765,1.3256,1,1,NA,NA,NA,NA,"S64821988","Planning"
"EU-Num",-26.267529356511,1.3256,1,1,NA,8.04,NA,NA,"S64821988","Planning"
"PW",-21.7769053838708,0.7214,1,0.4982,NA,NA,NA,NA,"S64821988","Planning"
"PW_DU",-21.5681782040625,0.7214,0.86,0.737,NA,NA,NA,NA,"S64821988","Planning"
"Random",-50.3932802763266,1,NA,NA,NA,NA,NA,NA,"S64821988","Heuristic"
"Sampling",-40.1518596957742,NA,NA,NA,NA,NA,800,21.2,"S64821988","Planning"
"Steps",-30.5957997330301,1.1552,NA,NA,1,NA,NA,NA,"S64821988","Heuristic"
"Steps-Cells",-31.2680242219273,0.6778,NA,NA,0.54,NA,NA,NA,"S64821988","Heuristic"
"Steps-Cells-Num",-32.0203783076242,0.216,NA,NA,0.62,0.26,NA,NA,"S64821988","Heuristic"
"Steps-Num",-31.2514484892532,0.232,NA,NA,1,0.1,NA,NA,"S64821988","Heuristic"
"Cells",-63.5931145975825,7.0884,NA,NA,0,NA,NA,NA,"S90663961","Heuristic"
"Cells-Num",-63.8242142931481,1.4448,NA,NA,0,0.1,NA,NA,"S90663961","Heuristic"
"DU",-32.9302097018937,0.5594,0.34,1,NA,NA,NA,NA,"S90663961","Planning"
"DU-Num",-35.4395418251,0.3174,0.28,1,NA,1.64,NA,NA,"S90663961","Planning"
"EU",-40.0996880959138,1.9728,1,1,NA,NA,NA,NA,"S90663961","Planning"
"EU-Num",-40.100341796412,1.9728,1,1,NA,10,NA,NA,"S90663961","Planning"
"PW",-31.855121866365,0.6902,1,0.1268,NA,NA,NA,NA,"S90663961","Planning"
"PW_DU",-35.7700783306257,0.4624,0.44,0.2056,NA,NA,NA,NA,"S90663961","Planning"
"Random",-62.635891988474,1,NA,NA,NA,NA,NA,NA,"S90663961","Heuristic"
"Sampling",-45.8226445566183,NA,NA,NA,NA,NA,30.6,5.8,"S90663961","Planning"
"Steps",-38.4397268969945,0.652,NA,NA,1,NA,NA,NA,"S90663961","Heuristic"
"Steps-Cells",-38.7088415239531,0.652,NA,NA,0.98,NA,NA,NA,"S90663961","Heuristic"
"Steps-Cells-Num",-38.0271491152001,0.2,NA,NA,0.98,1.6,NA,NA,"S90663961","Heuristic"
"Steps-Num",-37.8579927150369,0.216,NA,NA,1,1.6,NA,NA,"S90663961","Heuristic"
"Cells",-63.04923958247,7.5442,NA,NA,0,NA,NA,NA,"S25855276","Heuristic"
"Cells-Num",-63.2841808888214,1.53,NA,NA,0,0.1,NA,NA,"S25855276","Heuristic"
"DU",-36.1950009190252,0.7214,0.08,1,NA,NA,NA,NA,"S25855276","Planning"
"DU-Num",-38.0936320773,0.3778,0.08,1,NA,2.7,NA,NA,"S25855276","Planning"
"EU",-41.8176530626256,2.4252,1,1,NA,NA,NA,NA,"S25855276","Planning"
"EU-Num",-41.8180521745,2.4252,1,1,NA,10,NA,NA,"S25855276","Planning"
"PW",-37.1062016958666,1.0942,1,0.119,NA,NA,NA,NA,"S25855276","Planning"
"PW_DU",-36.2939273937561,0.6778,0.08,1.553,NA,NA,NA,NA,"S25855276","Planning"
"Random",-62.3996259121569,1,NA,NA,NA,NA,NA,NA,"S25855276","Heuristic"
"Sampling",-47.5775080371038,NA,NA,NA,NA,NA,42,7.6,"S25855276","Planning"
"Steps",-35.7079935913951,0.9654,NA,NA,1,NA,NA,NA,"S25855276","Heuristic"
"Steps-Cells",-35.7079935913951,0.9654,NA,NA,1,NA,NA,NA,"S25855276","Heuristic"
"Steps-Cells-Num",-33.9389762223621,0.232,NA,NA,1,0.26,NA,NA,"S25855276","Heuristic"
"Steps-Num",-33.9389762223621,0.232,NA,NA,1,0.26,NA,NA,"S25855276","Heuristic"
"Cells",-56.938616716728,3.4842,NA,NA,0,NA,NA,NA,"S84434686","Heuristic"
"Cells-Num",-56.8040597163815,0.6952,NA,NA,0,0.1,NA,NA,"S84434686","Heuristic"
"DU",-34.5010217038375,1.0332,0.69,1,NA,NA,NA,NA,"S84434686","Planning"
"DU-Num",-35.606303109,0.9044,0.68,1,NA,4.22,NA,NA,"S84434686","Planning"
"EU",-30.8319507585046,1.6152,1,1,NA,NA,NA,NA,"S84434686","Planning"
"EU-Num",-30.7909631968001,1.6152,1,1,NA,5.4,NA,NA,"S84434686","Planning"
"PW",-30.3306190185008,1.009,1,0.4468,NA,NA,NA,NA,"S84434686","Planning"
"PW_DU",-33.6859333395536,0.9044,0.768,0.526,NA,NA,NA,NA,"S84434686","Planning"
"Random",-56.9855540383373,1,NA,NA,NA,NA,NA,NA,"S84434686","Heuristic"
"Sampling",-35.5556713090315,NA,NA,NA,NA,NA,360,13,"S84434686","Planning"
"Steps",-30.0943808892241,0.887,NA,NA,1,NA,NA,NA,"S84434686","Heuristic"
"Steps-Cells",-30.3526541389135,0.5594,NA,NA,0.66,NA,NA,NA,"S84434686","Heuristic"
"Steps-Cells-Num",-32.4531471019094,0.216,NA,NA,0.72,0.34,NA,NA,"S84434686","Heuristic"
"Steps-Num",-29.4844707076081,0.2,NA,NA,1,0.1,NA,NA,"S84434686","Heuristic"
"Cells",-67.1222311970795,8,NA,NA,0,NA,NA,NA,"S96991060","Heuristic"
"Cells-Num",-66.3887002657591,2.5918,NA,NA,0,0.1,NA,NA,"S96991060","Heuristic"
"DU",-42.8296940246938,1.8536,0.42,1,NA,NA,NA,NA,"S96991060","Planning"
"DU-Num",-45.4019113604,0.5718,0.24,1,NA,0.52,NA,NA,"S96991060","Planning"
